pdb,uni,ik14
5tiu,P43405,NYYIGJQYEWZYJP
4px6,P43405,JZLUCFJMWJDRIK
5tr6,P43405,MJHOMTRKVMKCNE
4xg8,P43405,UCXIKENKSBLXSM
4rss,P43405,WVDKJJLIGILVRJ
4pv0,P43405,VCLOZUGEZMWXFF
4xg9,P43405,XHZDAKAAKUZJHY
4f4p,P43405,FCPDILGNMHIWJE
5y86,O43781,BXNJHAXVSOCGBA
3nyn,P43250,OBZJZDHRXBKKTJ
4cff,P54646,CTESJDQKVOEUOY
6bx6,P54646,NEXGBSJERNQRSV
4cfe,P54646,FHWSAZXFPUMKFL
5uuu,P25098,WFOVEDJTASPCIR
5uvc,P25098,XWJOKKXDMHSILW
1o4m,P12931,OFOBLEOULBTSOW
1o4n,P12931,MUBZPKHOEPUJKR
1o4l,P12931,KRKNYBCHXYNGOX
1o4g,P12931,AXIBZLYWMBUYRV
1o4j,P12931,KGNSYMGWPCEFDZ
1o4r,P12931,FRLTXWJJMCIUNT
1o4h,P12931,NQLPTOOPFMPCHQ
1o4o,P12931,CMPQUABWPXYYSH
1o4q,P12931,USNMCXDGQQVYSW
1o4p,P12931,WWYDYZMNFQIYPT
1o4f,P12931,NSJSAHCLJYVEDM
4hxj,P12931,KRQSPVKUISQQFS
1a08,P12931,JXPMSVJLAROPAI
1o4b,P12931,WCMLXBUNHNAMNH
1y57,P12931,JHMBUEWQJDGKGS
1a1e,P12931,LYGDXUXRWFVLNH
1o48,P12931,CEKLBQMULVLLTD
1o49,P12931,MWEWSHNGVWABKG
1a1b,P12931,LMADZBIAOYLZDD
1a1c,P12931,XNDVCNQEUAIBID
2bdf,P12931,FGMSUCIOAMNCKF
1o46,P12931,RLLAUERCSKPFGD
1o42,P12931,GGPXNASQNUOIPB
1o47,P12931,LVZDQVATAQEMCX
1o44,P12931,CGOGPQNYHFBUEF
2h8h,P12931,OUKYUETWWIPKQR
2bdj,P12931,VVOYROSONSLQQK
5kpl,P49841,NCKLQXXBRWCYMA
4afj,P49841,NDXJIXWTFPGHAI
3zrl,P49841,YFBJHINTWOTPAK
3du8,P49841,LCBAQTCTQXHTJG
3zrm,P49841,CCZJKJIDVXAPAV
3zrk,P49841,NLYCKXUGHPVKMO
4pte,P49841,PGKFRHOTYGEBDX
3f7z,P49841,TUTZKAQTSPMEBI
4iq6,P49841,JKTMEYXRCJFWAI
6hk7,P49841,UGPIRDVEWKQIDA
1q4l,P49841,ONVZFCHLOZUXRP
1q5k,P49841,YAEMHJKFIIIULI
3gb2,P49841,RCKYSTKYIVULEK
6hk3,P49841,VUQAIGCULONGGN
4ach,P49841,YVGRIAWEROZMPD
1q41,P49841,HBDSHCUSXQATPO
4acc,P49841,HULMMZPBCUBDJN
3q3b,P49841,AZXKZZMGLACNIJ
1q3d,P49841,HKSZLNNOFSGOKW
5kpm,P49841,YZRXTIGAQRIAEX
2o5k,P49841,BFHQTAMNYUCFBP
6gn1,P49841,QTHCAAFKVUWAFI
5f95,P49841,LJUDIYPNWBIDNH
5k5n,P49841,RQFYFNAGNBUGFC
3i4b,P49841,PFHKAGAZRDERTK
4ptg,P49841,FGIRBKPXCMZGGV
5kpk,P49841,YKPIWOGXCSQLFH
6b8j,P49841,AQGNHMOJWBZFQQ
1uv5,P49841,DDLZLOKCJHBUHD
4acd,P49841,FHCSBLWRGCOVPT
1q3w,P49841,OLUKILHGKRVDCT
5f94,P49841,NZMAVPMPPORZNT
2ow3,P49841,WHEOASILVTUPNR
6hk4,P49841,XNDBMYMVADOBNP
3f88,P49841,QBVJMUOTMRYUKR
3l1s,P49841,UXJPKQXTZFNBHT
4acg,P49841,CWMNDXXSBKRROR
5hln,P49841,AQGNHMOJWBZFQQ
2o0u,P53779,PRZGSWGFNRYBIP
3cgo,P53779,AJLILYAPRHIFAS
3oxi,P53779,CXOCENPNQSXLGZ
3g9n,P53779,SZYREAUDQRVVLV
6emh,P53779,KJQAULYFYNEAHK
3g9l,P53779,DDHASJXGNUWZTM
1pmu,P53779,IUSSGTWHFMSCOY
2ok1,P53779,PDJZASCRQRBYQS
3g90,P53779,DXIHOIDYHQSQKJ
4u79,P53779,DXCOZKXVDMXKGR
2o2u,P53779,YVYPYORTKAIUGJ
2waj,P53779,IKGXHBGCVQTQBH
6ekd,P53779,IATSSYNKRCFJAY
4w4y,P53779,BMQOTQLVHNKQRK
3cgf,P53779,HYNNWLVWJXWXFO
2exc,P53779,ACGBFWCBVIXTPZ
3ttj,P53779,IMFVPVKPQOQCBY
2r9s,P53779,GJTCKUKIFXWJKG
1pmv,P53779,ACPOUJIDANTYHO
3kvx,P53779,AHMHIFXJPSHHPH
4w4v,P53779,XMZFQCOWVFCHQO
4w4x,P53779,CHEAXMFRMQDNIT
2p33,P53779,ARMFMDYRYOKSOW
4w4w,P53779,UVLFZOYBIPADQR
3ptg,P53779,HJUDFJRTVGXBRF
3oy1,P53779,YZJYYYWPZRYBLV
4y5h,P53779,FJVVBMGXZMJPOI
3fi3,P53779,GYQLVKWGHKBDMP
4y46,P53779,QJPUIIKZKMYPSK
2zdt,P53779,ITAZALHTZBIKDO
3rtp,P53779,WNRCGOJLZOLSJN
1pmn,P53779,XCTKFTOEAKJMII
3tti,P53779,IBGLGMOPHJQDJB
2b1p,P53779,QHYSKDAWIUFROA
3da6,P53779,JXKDTYDBDDKIPY
4z9l,P53779,UQFRSHRWRKYNDE
4whz,P53779,IMARJVJNXLXPIX
2uvm,P31749,UKRGHRHHBNLNDD
3o96,P31749,BIWGYFZAEWGBAL
5kcv,P31749,HNFMVVHMKGFCMB
4ejn,P31749,WFDHLKUQFQCHKF
3p23,O75460,XTWYTFMLZFPYCI
6hx1,O75460,FLFMYUGDCXTOQI
6hv0,O75460,TZFOHQPMYQZELA
4z7h,O75460,IBZJJCFFBCEGPS
4yz9,O75460,YFDASBFQKMHSSJ
4u6r,O75460,VMXTWHCDROGRNY
5h09,P08631,YPZOCKHNHHMXDI
2c0o,P08631,ZMNWFTYYYCSSTF
5h0h,P08631,KOBNNQXCSZBAFN
5h0e,P08631,HHDXSZQPSZPOBP
5h0g,P08631,QWSTVNCCNITNGB
2hk5,P08631,OAILDJYOGMMAOQ
5h0b,P08631,KUUPATHXUAIQFZ
3vry,P08631,FMETVQKSDIOGPX
3vs3,P08631,FDVSOQRNTAPCHB
4yvc,Q13464,OVEKVWJGWABLNU
3v8s,Q13464,XEZOXLSEWZHMQY
2esm,Q13464,NGOGFTYYXHNFQH
6e9w,Q13464,FWFHXPGGGOSSPF
5uzj,Q13464,HIGGJLMBFDDVKA
2etr,Q13464,IYOZTVGMEWJPKR
2etk,Q13464,ZAVGJDAFCZAWSZ
4yve,Q13464,GOPDRFODUBCWMB
4w7p,Q13464,PTOPXBFSXASLNA
3tv7,Q13464,PZUHTMLHMMXBQW
3ncz,Q13464,WHXKGHDWNQPZNP
3twj,Q13464,GDVRVPIXWXOKQO
5hvu,Q13464,IMDMAPNWXDTADU
3ndm,Q13464,WWMMSIAGRVSGLG
5bml,Q13464,IVWXFGRLNHCKNV
3d9v,Q13464,AWDORCFLUJZUQS
5kks,Q13464,HIUHVDROHDSKTC
5kkt,Q13464,KWQRIWDMNAKJAF
3tku,Q9Y5S2,NGOGFTYYXHNFQH
4ual,Q9Y5S2,BPVZKUXLOLRECL
4azf,Q92630,ZDINVWCJHPMIKS
3kvw,Q92630,UHBJSHHMZNYBAE
6k0j,Q92630,ZFOMCSNUEHMROO
5lxc,Q92630,QSGKPYRFWJINEH
5ztn,Q92630,ZIUSSTSXXLLKKK
5lxd,Q92630,RYBNARZBIXTFJS
2q8i,Q15120,WYZWZEOGROVVHK
1y8o,Q15120,XTWYTFMLZFPYCI
1y8p,Q15120,ZKHQWZAMYRWXGA
6ed6,O75116,FWFHXPGGGOSSPF
2xix,P11309,PKWIYNIDEDLDCJ
2xiy,P11309,IAJLTMBBAVVMQO
2xj0,P11309,ZSTSKJFUYGWSPO
2xiz,P11309,SSAYTINUCCRGDR
3c4e,P11309,CQFGXDQUQWRXLE
3vbt,P11309,DMGLUMYOLOAXJY
3vby,P11309,ZGNXEAXRPSISJF
3vbx,P11309,KNMCTCABMSGXGR
3vbv,P11309,SDLPADBAAMHWQB
3r00,P11309,QKUWZCOVKRUXKX
3vbw,P11309,GKEKUQYTCADDSQ
3r01,P11309,OEICZFFUNDGUEF
1yi3,P11309,CZQHHVNHHHRRDU
4xh6,P11309,IHFBPDAQLQOCBX
5toe,P11309,NVTWXXPKCOGVMK
4bzn,P11309,PNMQDIXULZYDDT
2o3p,P11309,REFJWTPEDVJJIY
5tur,P11309,UAVOZSIHGYSYEZ
4gw8,P11309,ZDINVWCJHPMIKS
2o63,P11309,IKMDFBPHZNJCSN
2o65,P11309,ARSRJFRKVXALTF
3bgz,P11309,OLUDUXWVPIEHDA
4enx,P11309,SHXHWOPEFBMMKJ
5tex,P11309,LGVBWTYRZTXNEO
2o64,P11309,ZVOLCUVKHLEPEV
3umx,P11309,IARYZBOIUVHJGF
5o11,P11309,MUOKSQABCJCOPU
5kcx,P11309,ZHUIPHDJCHSZFK
2j2i,P11309,ZCBUQCWBWNUWSU
5dhj,P11309,UQUBWQXJXQJXPB
4lm5,P11309,VIQWLKJTZBWAFF
3uix,P11309,VIQWLKJTZBWAFF
3jya,P11309,DJUSDFVEBBYFFL
4jx7,P11309,VWACYUAZKMPNOH
6bsk,P11309,RJXWGPDMMDILGJ
3r04,P11309,SEAHTYRLTWEUCM
3jpv,P11309,VWNCOFUKBTYAON
3bgp,P11309,AQVFETGXIRKVAQ
4n6y,P11309,XPDNPGNUQDMFOW
4eny,P11309,CEYSJUACBKYCKN
2xj2,P11309,DTBFDAJNODVUMF
3cy2,P11309,LPFQFJAOMCGYCP
3ma3,P11309,IPFSIVVOJSEJOL
3f2a,P11309,DTBFDAJNODVUMF
4lmu,P11309,REFJWTPEDVJJIY
2obj,P11309,SVSYJTYGPLVUOZ
2xj1,P11309,GPICQYUBSFLTRN
4alw,P11309,OOINHKLROPYETD
2c3i,P11309,IVUBNTNWKIPCPS
3vc4,P11309,NGJLOFCOEOHFKQ
4wsy,P11309,GQCHSJRNLCGUAC
4alu,P11309,UGRPNQCFWPYERM
4n6z,P11309,PKUDLMDWOHMCHC
4k0y,P11309,SBDJADVTLNKDBC
5dgz,P11309,YWTBGJGMTBHQTM
4bzo,P11309,MCZCAWWHZGEUFE
4wt6,P11309,LYSVYDGAEVIKAF
3bgq,P11309,XYYDXQCAYXOGQT
1xws,P11309,QMGUOJYZJKLOLH
1yhs,P11309,HKSZLNNOFSGOKW
4alv,P11309,RUIXFIILMZVAAF
4mbi,P11309,PSIMDRXAPBUVNE
3jy0,P11309,DSUSQUXNJRQJMI
4xhk,P11309,DNXZIJKGPFJRAA
3umw,P11309,HZMQZYRYZGLOKJ
4rpv,P11309,HWIDISMNBLRQNP
3dcv,P11309,AZXKZZMGLACNIJ
4dtk,P11309,ULMRMVZQMKZWKJ
4mbl,P11309,LODPYXJMYAQIRB
5ipj,P11309,HLPARXMUJBJYFM
4k18,P11309,GVDYBVYAFKPQRT
5iis,P11309,KZHXQFLEOUMPQC
3jxw,P11309,CPHAAKSWOQSYIW
3r02,P11309,BLBAWGODFTZAEY
4ty1,P11309,BQKBRLMFCCUJQA
3vbq,P11309,UKPXIONZHWFMAU
4wrs,P11309,FCGLYPSBPNFQRF
5eol,P11309,DDQXBYGNFGPJRL
5kzi,P11309,MLPJIYXHHVPOPK
5v82,P11309,OIZRMKSUYVZCDN
6mt0,P11309,WPKXXVMGORDACP
5dia,P11309,FWMVELRLCYRLLJ
6no9,P11309,NHXVGMQFCYBLTL
5dwr,P11309,VRQXRVAKPDCRCI
4k1b,P11309,BEXSRDRFSVXXPU
4n70,P11309,ODZZYKUYGVLOTQ
4mp2,Q15119,OTKZPCDLOLLPPV
5m4k,Q15119,YRTAPVLIGYRBPY
4mp7,Q15119,FYANAIGOGAIFAF
4mpc,Q15119,GBZLIDQSMMVGSH
4mpe,Q15119,WRKXOYGLVREKOE
4mpn,Q15119,SVUZJWAAXPEMKJ
5j71,Q15119,HQHMYMINMCVYMC
4v25,Q15119,LCGNLQSOSJFLKR
5j6a,Q15119,HAMJZOUVHDEUSM
2bu5,Q15119,IWFSHKKFDSWNLZ
4f7j,P49336,QTPQATQIABNKIE
4f6s,P49336,PXDGOKVFTJDAPC
4f70,P49336,WTTXDKWUUKCBRY
4f6u,P49336,LCMQASKUJYHHDV
5xqx,P49336,CUQAMHMOOUOTLK
4f7n,P49336,KYUWRMMQYZFHGQ
5hbh,P49336,GRKOQLWARQVTPO
5idp,P49336,VXYMGUGNDZARSZ
4f6w,P49336,DWTWTHMDBSOYDZ
5hvy,P49336,LVIYMOOJJGCMCP
4f7l,P49336,NTCPUSCJDOSUEX
5cei,P49336,QHMOZKVAGIEXJR
5xs2,P49336,PGLBZRZEQTVNDN
5icp,P49336,SAVNWXMDAMFANR
5idn,P49336,ODRITQGYYWHQGM
5hbj,P49336,VPJXPDLMACOGIZ
5hbe,P49336,ZNMSRFYDOSAZLZ
5bnj,P49336,LBFYQISQYCGDDW
5fgk,P49336,ZVSGCPGPQNLKLU
5i5z,P49336,DFYVDBLGPYTIAT
4crl,P49336,KSGZCKSNTAJOJS
5my8,Q96SB4,VURLRACCOCGFDB
3eqb,Q02750,FPDWDLAITHFTTP
3zly,Q02750,KVXRKRURRSOVSJ
3zlw,Q02750,FHMNDLFMEHZYLO
3zlx,Q02750,RCMBOTAAIQVYEO
3zls,Q02750,XYRUNIAHPKBUJT
3zm4,Q02750,CHDOJNHHXLLFJK
5kkr,Q6VAB6,PEKZLFZZBGBOPJ
4ark,Q02750,HNTGGMMWHHPHAE
3v01,Q02750,MOKOPMFVODBALH
5eym,Q02750,FLBNLJLONKAPLR
3e8n,Q02750,RDSACQWTXKSHJT
3mbl,Q02750,WRHOGNMBUWCIAC
3v04,Q02750,YMRXJLXWVAGVBT
3pp1,Q02750,RCLQNICOARASSR
4lmn,Q02750,BSMCAPRUBJMWDF
2zdx,Q16654,GSBFARPNIZUMHA
3d2r,Q16654,XTWYTFMLZFPYCI
2zkj,Q16654,XTWYTFMLZFPYCI
5myv,P78362,STWLHUZLPCVTAS
4eh8,Q16539,AFKLSWIRJUJWKY
4eh9,Q16539,FENJYCPCZAMGTO
4ehv,Q16539,AXGNYHMYSWJJSC
4eh6,Q16539,NYQXIOZBHWFCBU
4eh4,Q16539,YXTROGRGRSPWKL
1w7h,Q16539,NMCBWICNRJLKKM
1wbo,Q16539,ISPYQTSUDJAMAB
4eh5,Q16539,KVYGGMBOZFWZBQ
4eh2,Q16539,WAIHFZPSLVDBRV
4eh7,Q16539,KGANAERDZBAECK
4eh3,Q16539,FTVWIRXFELQLPI
1wbv,Q16539,VMLSXFMXUNVCSK
1wbw,Q16539,SZANYTFSQVBOBA
1w84,Q16539,UUEYCHLWAOBOHG
3hec,Q16539,KTUFNOKKBVMGRW
5xyx,Q16539,AHOHWELPUXLPOF
3iw8,Q16539,DUYHXVUZFOXOBB
3k3j,Q16539,SZWDNHQJXXWUBD
3new,Q16539,YEINPIKXEQEWSU
5xyy,Q16539,AAAVVDAKZZKRGS
1zz2,Q16539,JHHBGNIRSUTQAS
1di9,Q16539,FUSDVOSGGMBSMK
3iw6,Q16539,BEPDKTMMVYTHND
4dli,Q16539,WCANXWUISJCJOB
3hv6,Q16539,FRZNJFWQVYAVCE
3k3i,Q16539,ZBOUSWQJXIKQSX
1zyj,Q16539,HVLSCZSVTCNAQX
4dlj,Q16539,TZGHZEALSHYAJC
1kv1,Q16539,FWIJKWMXNHRSRO
3huc,Q16539,DBXZXNJCPSGVAC
3iw5,Q16539,BNPQVUSGXCJYEF
2gfs,Q16539,IJDQETGUEUJVTB
3hp2,Q16539,VBZTXJCTVYBOKW
1wbs,Q16539,HIUFYIOMUILESI
3hvc,Q16539,BILJSHVAAVZERY
2bal,Q16539,QKZZJXRGCHXIAI
2zb1,Q16539,FOHZGCHKLPIBBX
3hv3,Q16539,MKHUGLZLKVCOGF
2zaz,Q16539,VKQPTVJDZIILPG
3o8p,Q16539,FWIJKWMXNHRSRO
1wbn,Q16539,NTMADESEDXKNFZ
3gcq,Q16539,ZKESOLNZMJUNTF
1wbt,Q16539,CPFBZMFUCGHBAP
3hv4,Q16539,VOLXCNVOKHMTKN
3mpt,Q16539,UTEGJWUIPAWNBB
5wjj,Q16539,RNPHICWBCUQEML
2zb0,Q16539,PMMLSQFPBFKLHH
5mz3,Q16539,MRTHXFZEQBERDI
1w82,Q16539,PEGHHVFLTANTIZ
3heg,Q16539,MLDQJTXFUGDVEO
4f9y,Q16539,GEAPHVHHVPDTKQ
3gcu,Q16539,NTLVXUKPLVSAJT
1bl6,Q16539,ROKOFZNQCIIJMI
6m95,Q16539,OMGLGPKQUFSRNN
4f9w,Q16539,ODFGOBPLQKLCRM
4r3c,Q16539,CIIVUDIZZJLXCN
3l8s,Q16539,HXHAJRMTJXHJJZ
3zya,Q16539,VMANCBCSTYKPPA
3hv5,Q16539,CWMPJFRIKZETON
6hwv,Q16539,BBDJOFZXYVEURD
3gcv,Q16539,MWDKKNFEOXEAEC
3hp5,Q16539,VEPKQEUBKLEPRA
6sfk,Q16539,ARAZWGAZTSHNHP
1w83,Q16539,WDYHPKURZUGMIN
3gcs,Q16539,MLDQJTXFUGDVEO
1a9u,Q16539,CDMGBJANTYXAIV
3nnu,Q16539,YEVPKQHEAVIPSH
3ctq,Q16539,YVIHJEHDPKKGMU
3kf7,Q16539,IECIDZDLEJWPAN
2bak,Q16539,LGTPGGBSDIEHKM
4aa0,Q16539,BLSPWFIREKMTOA
3uvp,Q16539,ATBLOTYVKHVLPU
6hwu,Q16539,OCIGBTIRVZOQBN
6m9l,Q16539,SCEQLDKCKSDIGD
3nnv,Q16539,MKYJHFRHAZBFKJ
6sfi,Q16539,MYJMLFRMWQAWML
1bmk,Q16539,DFEYXQGDDCDXJK
3iph,Q16539,WIXHEGLMUQGJCC
3hl7,Q16539,CATQHDWESBRRQA
4kiq,Q16539,SNCXIBOVAVIFGA
3hrb,Q16539,LTGBWAXSDFOJNJ
1bl7,Q16539,VSPFURGQAYMVAN
6sfj,Q16539,TUROENOKNBFMBG
5mtx,Q16539,KZWLZLUTYGMNBM
3uvq,Q16539,ZPBRNNLSMHDHFY
4aa5,Q16539,ZMAZXHICVRYLQN
3s3i,Q16539,QOUXRSOLEJEKEB
3gcp,Q16539,CDMGBJANTYXAIV
3mvl,Q16539,GDTQLZHHDRRBEB
2qd9,Q16539,GRRHHDRNCLEFSY
3d7z,Q16539,BOPSUAHGQHFKGG
3hv7,Q16539,HJWMLCDGRWWLAQ
3nnx,Q16539,LLLDJNNXZHGRQO
3l8x,Q16539,OYTBZXSFNNAVKU
3fc1,Q16539,VEPKQEUBKLEPRA
5ml5,Q16539,DXYUGELYNOLVBZ
3e92,Q16539,UBVTVSINEVHYSY
2i0h,Q16539,QGJNGXXVCVFADC
3nnw,Q16539,LLLDJNNXZHGRQO
4aa4,Q16539,NJOPZZLYRDEEQE
3hub,Q16539,ZMELOYOKMZBMRB
1yqj,Q16539,WFSFNKVFXLIZIY
3nww,Q16539,JQWPDTBHOVYRPB
4kip,Q16539,ZQXGAYYYCBUPSG
4aac,Q16539,SWLHHASUIJPBPZ
3roc,Q16539,XIPYKUQAZQIESI
5tco,Q16539,JWZSSEWMVYKYKW
3c5u,Q16539,FQYJTHIYAQQJAB
3hll,Q16539,KCAJXIDMCNPGHZ
6anl,Q16539,HEKAIDKUDLCBRU
1zzl,Q16539,OVCXRBARSPBVMC
4kin,Q16539,BHSHXBRDUHHNCK
3d83,Q16539,BOQNSWFZUHQNRG
1ouy,Q16539,PZUXNWPJBLCJKB
3s4q,Q16539,CQPNJQRTSADQCI
2baj,Q16539,ZFJZXGAFKPFNSG
3mvm,Q16539,MCTUUCHJENITIK
3bx5,Q16539,OYOUIHFZUAKCEF
2yix,Q16539,PHHKWHBPRKFKKF
3gfe,Q16539,WMEYCLAVMZKZCS
2rg5,Q16539,ZZTMFGIGOADCFX
3ocg,Q16539,DMYYPSLMFSEFCK
1m7q,Q16539,YAWZIQKDHQIHOS
3dt1,Q16539,MNEXDVSJIUQQRH
2rg6,Q16539,STNJCYKOXYBBIA
2yis,Q16539,VGEXRDWWPSGZDH
3que,Q16539,HXMGCTFLLWPVFM
3itz,Q16539,ZWVCUFJZBBAOFI
3e93,Q16539,UVUGBBNUQBSROH
5mty,Q16539,ZBPQDEQSQUZYHD
3rin,Q16539,WMXJYEDCJIDCNY
5tbe,Q16539,KAMAPKIQUKEGQC
4l8m,Q16539,OPUXVIDSMSFXIU
3u8w,Q16539,JCOILWGRHHMFON
3mw1,Q16539,WLMGLORLNFEUDG
2yiw,Q16539,GQJUPNKTYNFBRZ
3ds6,Q16539,GQXMJOSCBRZMKE
1ove,Q16539,VXIYTVJEIXMAQF
3gc7,Q16539,KXNNHYBPDFMKQK
3bv3,Q16539,KYFKCMGDXJZZIZ
3bv2,Q16539,ABOUJDCZZMNXIR
6ohd,Q16539,OTRRQGBKFMGRTG
3lhj,Q16539,XQRUWZMHPKNIDA
1ouk,Q16539,QICPQLFMWYQJGX
1kv2,Q16539,MVCOAUNKQVWQHZ
3o2m,P45983,ZSQBWJVNWXAGKO
3elj,P45983,VGYXXQRDIVRILX
3v3v,P45983,ZVOLCUVKHLEPEV
2g01,P45983,AYKGPCNWPACUQV
4qtd,P45983,HDAJDNHIBCDLQF
4awi,P45983,QBYYCHRRPPTEBG
2h96,P45983,VEGKZYFYGCWXMN
2gmx,P45983,GKODDLYLEKSDJL
2no3,P45983,QHPKKGUGRGRSGA
1agw,P11362,ZNFJBJDODKHWED
1fgi,P11362,JNDVEAXZWJIOKB
3c4f,P11362,GHQCCHWTDLTMJT
3rhx,P11362,BMOQBIIJPJVMDI
4f63,P11362,UOHJGIQDKUHCQV
4nka,P11362,YLSKPWFLSHNDEO
5am6,P11362,PIQCTGMSNWUMAF
4nks,P11362,ZWCOUICPAQBKJI
5am7,P11362,PIQCTGMSNWUMAF
4rwk,P11362,VRQMAABPASPXMW
4f64,P11362,GRMVXENVVBTWDY
2fgi,P11362,DXCUKNQANPLTEJ
4zsa,P11362,LDEZCHXBGZHBFD
6itj,P11362,PTWNXRVSEAJTJH
4rwl,P11362,CUDVHEFYRIWYQD
5a4c,P11362,JZVDJULPDILYDY
6mzq,P11362,KEIPNCCJPRMIAX
4nk9,P11362,AQHXGQTWGFVXTB
4f65,P11362,BUSNTKOLFQPMBH
4rwj,P11362,VRQMAABPASPXMW
2zoq,P27361,WHSIXKUPQCKWBY
4qtb,P27361,HDAJDNHIBCDLQF
3tt0,P11362,QADPYRIHXKWUSV
5a4l,Q13627,DPZGAHUPXGKUDW
5a4q,Q13627,BCQXILHHRAEBLY
6eil,Q13627,WJYWQSXTQZIHBX
6eip,Q13627,VJDBYVPTQWPRPA
6eij,Q13627,NVIJYBFQLMPXOI
5a4t,Q13627,JGSLDMQYARUFDJ
5a3x,Q13627,YOMAHEQEXVNJNF
5a54,Q13627,XARDSBCDZPSYTN
6eir,Q13627,SSVRRCACHPATAI
5a4e,Q13627,ZKNFVQNHIHCHEW
6eiq,Q13627,FAJIIOCNEPZQTR
3anr,Q13627,BXNJHAXVSOCGBA
6eis,Q13627,GDVQGEPAYBCRBS
6t6a,Q13627,BBOUTVQTMMUARP
4ylk,Q13627,WGBRJADREQKUMW
3anq,Q13627,GCSZJMUFYOAHFY
6ej4,Q13627,YWOJRGRRNWQSOH
4yll,Q13627,WYQPGNJIFZHADC
6eif,Q13627,GUBNPZDHUYZSLK
4mq2,Q13627,SIVLENRHVVVPKJ
4nct,Q13627,BMGQWWVMWDBQGC
4mq1,Q13627,KUFCYNGJQRKYSQ
4ylj,Q13627,SDRAETFVRBBLOB
6ft7,P49761,YJGNZVVUIPDSRL
2wu7,P49761,CXJCGSPAPOTTSF
6fyp,P49761,MUOKSQABCJCOPU
2wu6,P49761,ARIOBGGRZJITQX
4qp2,P28482,YGCODSQDUUUKIV
4qp6,P28482,HFTVJMFWJUFBNO
4qp1,P28482,NWBJYWHLCVSVIJ
6g92,P28482,XMVHLWOPQDOPRZ
4qp7,P28482,LTFQPYDMHBLAGZ
6g91,P28482,GHFICXAPEMOYEA
2ojg,P28482,OPBUUQBZKJSWTN
5ax3,P28482,WHSIXKUPQCKWBY
1wzy,P28482,WHPQRPGHYADIAQ
