paper_drug_name,mapped_compound_name,primary_targets_from_table_s1,therapeutic_indications_from_table_s1,paper_fda_status_from_table_s1,canonical_smiles,inchikey_source,source_database,source_url,nature_table_s1_source,mapping_note,rdkit_parse_ok,rdkit_canonical_smiles_from_input,rdkit_inchikey_from_input_smiles,inchikey_matches_rdkit_from_smiles
Bosutinib,Bosutinib,"BCR_ABL, ABL1, ABL2_ARG",Ph+ chronic myelogenous leukemia,FDA Approved,CN1CCN(CC1)CCCOc2cc3c(cc2OC)c(c(cn3)C#N)Nc4cc(c(cc4Cl)Cl)OC,UBPYILGKFZZVDX-UHFFFAOYSA-N,PKIDB 2020 CSV,https://github.com/volkamerlab/pkidb_klifs/raw/refs/heads/master/results/pkidb_20200218.csv,"Nature Supplementary Table S1, https://static-content.springer.com/esm/art%3A10.1038%2Fs41587-026-03090-8/MediaObjects/41587_2026_3090_MOESM4_ESM.xlsx",matched_by_normalized_name,TRUE,COc1cc(Nc2c(C#N)cnc3cc(OCCCN4CCN(C)CC4)c(OC)cc23)c(Cl)cc1Cl,UBPYILGKFZZVDX-UHFFFAOYSA-N,TRUE
Brigatinib,Brigatinib,ALK,ALK-positive NSCLC,FDA Approved,CN1CCN(CC1)C2CCN(CC2)c3ccc(c(c3)OC)Nc4ncc(c(n4)Nc5ccccc5P(=O)(C)C)Cl,AILRADAXUVEEIR-UHFFFAOYSA-N,PKIDB 2020 CSV,https://github.com/volkamerlab/pkidb_klifs/raw/refs/heads/master/results/pkidb_20200218.csv,"Nature Supplementary Table S1, https://static-content.springer.com/esm/art%3A10.1038%2Fs41587-026-03090-8/MediaObjects/41587_2026_3090_MOESM4_ESM.xlsx",matched_by_normalized_name,TRUE,COc1cc(N2CCC(N3CCN(C)CC3)CC2)ccc1Nc1ncc(Cl)c(Nc2ccccc2P(C)(C)=O)n1,AILRADAXUVEEIR-UHFFFAOYSA-N,TRUE
Cabozantinib,Cabozantinib,"RET, KDR_VEGFR2","Advanced medullary thyroid cancer, renal cell and hepatocellular carcinomas",FDA Approved,COc1cc2c(ccnc2cc1OC)Oc3ccc(cc3)NC(=O)C4(CC4)C(=O)Nc5ccc(cc5)F,ONIQOQHATWINJY-UHFFFAOYSA-N,PKIDB 2020 CSV,https://github.com/volkamerlab/pkidb_klifs/raw/refs/heads/master/results/pkidb_20200218.csv,"Nature Supplementary Table S1, https://static-content.springer.com/esm/art%3A10.1038%2Fs41587-026-03090-8/MediaObjects/41587_2026_3090_MOESM4_ESM.xlsx",matched_by_normalized_name,TRUE,COc1cc2nccc(Oc3ccc(NC(=O)C4(C(=O)Nc5ccc(F)cc5)CC4)cc3)c2cc1OC,ONIQOQHATWINJY-UHFFFAOYSA-N,TRUE
Canertinib,Canertinib,ERBB2_HER2,esophageal squamous cell carcinoma ,FDA Trials Discontinued,C=CC(=O)Nc1cc2c(cc1OCCCN3CCOCC3)ncnc2Nc4ccc(c(c4)Cl)F,OMZCMEYTWSXEPZ-UHFFFAOYSA-N,PKIDB 2020 CSV,https://github.com/volkamerlab/pkidb_klifs/raw/refs/heads/master/results/pkidb_20200218.csv,"Nature Supplementary Table S1, https://static-content.springer.com/esm/art%3A10.1038%2Fs41587-026-03090-8/MediaObjects/41587_2026_3090_MOESM4_ESM.xlsx",matched_by_normalized_name,TRUE,C=CC(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OCCCN1CCOCC1,OMZCMEYTWSXEPZ-UHFFFAOYSA-N,TRUE
Capivasertib,Capivasertib,"AKT1, AKT2, AKT3",HER2-negative advanced breast cancer,FDA Approved,c1cc(ccc1[C@H](CCO)NC(=O)C2(CCN(CC2)c3c4cc[nH]c4ncn3)N)Cl,JDUBGYFRJFOXQC-KRWDZBQOSA-N,PKIDB 2020 CSV,https://github.com/volkamerlab/pkidb_klifs/raw/refs/heads/master/results/pkidb_20200218.csv,"Nature Supplementary Table S1, https://static-content.springer.com/esm/art%3A10.1038%2Fs41587-026-03090-8/MediaObjects/41587_2026_3090_MOESM4_ESM.xlsx",matched_by_normalized_name,TRUE,NC1(C(=O)N[C@@H](CCO)c2ccc(Cl)cc2)CCN(c2ncnc3[nH]ccc23)CC1,JDUBGYFRJFOXQC-KRWDZBQOSA-N,TRUE
Capmatinib,Capmatinib,C_MET,NSCLC with MET exon 14 skipping mutations,FDA Approved,CNC(=O)c1ccc(cc1F)c2cnc3ncc(n3n2)Cc4ccc5c(c4)cccn5,LIOLIMKSCNQPLV-UHFFFAOYSA-N,PKIDB 2020 CSV,https://github.com/volkamerlab/pkidb_klifs/raw/refs/heads/master/results/pkidb_20200218.csv,"Nature Supplementary Table S1, https://static-content.springer.com/esm/art%3A10.1038%2Fs41587-026-03090-8/MediaObjects/41587_2026_3090_MOESM4_ESM.xlsx",matched_by_normalized_name,TRUE,CNC(=O)c1ccc(-c2cnc3ncc(Cc4ccc5ncccc5c4)n3n2)cc1F,LIOLIMKSCNQPLV-UHFFFAOYSA-N,TRUE
Ceritinib,Ceritinib,ALK,ALK-positive NSCLC resistant to crizotinib,FDA Approved,Cc1cc(c(cc1C2CCNCC2)OC(C)C)Nc3ncc(c(n3)Nc4ccccc4S(=O)(=O)C(C)C)Cl,VERWOWGGCGHDQE-UHFFFAOYSA-N,PKIDB 2020 CSV,https://github.com/volkamerlab/pkidb_klifs/raw/refs/heads/master/results/pkidb_20200218.csv,"Nature Supplementary Table S1, https://static-content.springer.com/esm/art%3A10.1038%2Fs41587-026-03090-8/MediaObjects/41587_2026_3090_MOESM4_ESM.xlsx",matched_by_normalized_name,TRUE,Cc1cc(Nc2ncc(Cl)c(Nc3ccccc3S(=O)(=O)C(C)C)n2)c(OC(C)C)cc1C1CCNCC1,VERWOWGGCGHDQE-UHFFFAOYSA-N,TRUE
Cobimetinib,Cobimetinib,"MEK1, MEK2",BRAF V600E or V600K mutation positive melanomas in combination with vemurafenib,FDA Approved,c1c(cc(c(c1)Nc2c(c(ccc2C(=O)N3C[C@@](C3)(O)[C@H]4NCCCC4)F)F)F)I,BSMCAPRUBJMWDF-KRWDZBQOSA-N,PKIDB 2020 CSV,https://github.com/volkamerlab/pkidb_klifs/raw/refs/heads/master/results/pkidb_20200218.csv,"Nature Supplementary Table S1, https://static-content.springer.com/esm/art%3A10.1038%2Fs41587-026-03090-8/MediaObjects/41587_2026_3090_MOESM4_ESM.xlsx",matched_by_normalized_name,TRUE,O=C(c1ccc(F)c(F)c1Nc1ccc(I)cc1F)N1CC(O)([C@@H]2CCCCN2)C1,BSMCAPRUBJMWDF-KRWDZBQOSA-N,TRUE
Crizotinib,Crizotinib,"ALK, ROS_ROS1",ALK- or ROS1-postive NSCLC,FDA Approved,C[C@H](c1c(ccc(c1Cl)F)Cl)Oc2cc(cnc2N)c3cnn(c3)C4CCNCC4,KTEIFNKAUNYNJU-GFCCVEGCSA-N,PKIDB 2020 CSV,https://github.com/volkamerlab/pkidb_klifs/raw/refs/heads/master/results/pkidb_20200218.csv,"Nature Supplementary Table S1, https://static-content.springer.com/esm/art%3A10.1038%2Fs41587-026-03090-8/MediaObjects/41587_2026_3090_MOESM4_ESM.xlsx",matched_by_normalized_name,TRUE,C[C@@H](Oc1cc(-c2cnn(C3CCNCC3)c2)cnc1N)c1c(Cl)ccc(F)c1Cl,KTEIFNKAUNYNJU-GFCCVEGCSA-N,TRUE
Dabrafenib,Dabrafenib,BRAF,"BRAF mutation positive melanoma, NSCLC with BRAF V600E mutations, anaplastic thyroid cancer with BRAF V600E mutations",FDA Approved,CC(C)(C)c1nc(c(s1)c2ccnc(n2)N)c3cccc(c3F)NS(=O)(=O)c4c(cccc4F)F,BFSMGDJOXZAERB-UHFFFAOYSA-N,PKIDB 2020 CSV,https://github.com/volkamerlab/pkidb_klifs/raw/refs/heads/master/results/pkidb_20200218.csv,"Nature Supplementary Table S1, https://static-content.springer.com/esm/art%3A10.1038%2Fs41587-026-03090-8/MediaObjects/41587_2026_3090_MOESM4_ESM.xlsx",matched_by_normalized_name,TRUE,CC(C)(C)c1nc(-c2cccc(NS(=O)(=O)c3c(F)cccc3F)c2F)c(-c2ccnc(N)n2)s1,BFSMGDJOXZAERB-UHFFFAOYSA-N,TRUE
Dacomitinib,Dacomitinib,EGFR,EGFR-mutant NSCLC,FDA Approved,COc1cc2c(cc1NC(=O)/C=C/CN3CCCCC3)c(ncn2)Nc4ccc(c(c4)Cl)F,LVXJQMNHJWSHET-AATRIKPKSA-N,PKIDB 2020 CSV,https://github.com/volkamerlab/pkidb_klifs/raw/refs/heads/master/results/pkidb_20200218.csv,"Nature Supplementary Table S1, https://static-content.springer.com/esm/art%3A10.1038%2Fs41587-026-03090-8/MediaObjects/41587_2026_3090_MOESM4_ESM.xlsx",matched_by_normalized_name,TRUE,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1NC(=O)/C=C/CN1CCCCC1,LVXJQMNHJWSHET-AATRIKPKSA-N,TRUE
Darovasertib,Darovasertib,"PKCA, PKCB1, PKCB2, PKCD, PKCEPSILON, PKCETA, PKCG, PKCIOTA, PKCMU_PRKD1, PKCNU_PRKD3, PKCTHETA, PKCZETA",metastatic uveal melanoma ,Phase III FDA Trials,CC1(N)CCN(c2cccnc2NC(=O)c2nc(-c3ncccc3C(F)(F)F)cnc2N)CC1,XXJXHXJWQSCNPX-UHFFFAOYSA-N,PKIDB current web page,https://www.icoa.fr/pkidb/,"Nature Supplementary Table S1, https://static-content.springer.com/esm/art%3A10.1038%2Fs41587-026-03090-8/MediaObjects/41587_2026_3090_MOESM4_ESM.xlsx",manual_update_from_current_PKIDB,TRUE,CC1(N)CCN(c2cccnc2NC(=O)c2nc(-c3ncccc3C(F)(F)F)cnc2N)CC1,XXJXHXJWQSCNPX-UHFFFAOYSA-N,TRUE
Dasatinib,Dasatinib,"BCR_ABL, ABL1, ABL2_ARG",Ph+ chronic myelogenous leukemia or acute lymphoblastic leukemia,FDA Approved,Cc1cccc(c1NC(=O)c2cnc(s2)Nc3cc(nc(n3)C)N4CCN(CC4)CCO)Cl,ZBNZXTGUTAYRHI-UHFFFAOYSA-N,PKIDB 2020 CSV,https://github.com/volkamerlab/pkidb_klifs/raw/refs/heads/master/results/pkidb_20200218.csv,"Nature Supplementary Table S1, https://static-content.springer.com/esm/art%3A10.1038%2Fs41587-026-03090-8/MediaObjects/41587_2026_3090_MOESM4_ESM.xlsx",matched_by_normalized_name,TRUE,Cc1nc(Nc2ncc(C(=O)Nc3c(C)cccc3Cl)s2)cc(N2CCN(CCO)CC2)n1,ZBNZXTGUTAYRHI-UHFFFAOYSA-N,TRUE
Defactinib,Defactinib,FAK_PTK2,"Pancreatic cancer, NSCLC and mesothelioma (in combination with pembrolizumab) ",FDA Approved,CNC(=O)c1ccc(cc1)Nc2ncc(c(n2)NCc3c(nccn3)N(C)S(=O)(=O)C)C(F)(F)F,FWLMVFUGMHIOAA-UHFFFAOYSA-N,PKIDB 2020 CSV,https://github.com/volkamerlab/pkidb_klifs/raw/refs/heads/master/results/pkidb_20200218.csv,"Nature Supplementary Table S1, https://static-content.springer.com/esm/art%3A10.1038%2Fs41587-026-03090-8/MediaObjects/41587_2026_3090_MOESM4_ESM.xlsx",matched_by_normalized_name,TRUE,CNC(=O)c1ccc(Nc2ncc(C(F)(F)F)c(NCc3nccnc3N(C)S(C)(=O)=O)n2)cc1,FWLMVFUGMHIOAA-UHFFFAOYSA-N,TRUE
Deucravacitinib,Deucravacitinib,TYK2,Psoriasis,FDA Approved,[2H]C([2H])([2H])NC(=O)c1nnc(NC(=O)C2CC2)cc1Nc1cccc(-c2ncn(C)n2)c1OC,BZZKEPGENYLQSC-FIBGUPNXSA-N,PKIDB current web page,https://www.icoa.fr/pkidb/,"Nature Supplementary Table S1, https://static-content.springer.com/esm/art%3A10.1038%2Fs41587-026-03090-8/MediaObjects/41587_2026_3090_MOESM4_ESM.xlsx",manual_update_from_current_PKIDB; contains_deuterium_isotopes,TRUE,[2H]C([2H])([2H])NC(=O)c1nnc(NC(=O)C2CC2)cc1Nc1cccc(-c2ncn(C)n2)c1OC,BZZKEPGENYLQSC-FIBGUPNXSA-N,TRUE
Duvelisib,Duvelisib,PI3K,Relapsed or refractory chronic lymphocytic leukaemia (CLL)/ small lymphocytic lymphoma (SLL) ,FDA Approved,C[C@@H](c1cc2cccc(c2c(=O)n1c3ccccc3)Cl)Nc4c5c([nH]cn5)ncn4,SJVQHLPISAIATJ-ZDUSSCGKSA-N,PKIDB 2020 CSV,https://github.com/volkamerlab/pkidb_klifs/raw/refs/heads/master/results/pkidb_20200218.csv,"Nature Supplementary Table S1, https://static-content.springer.com/esm/art%3A10.1038%2Fs41587-026-03090-8/MediaObjects/41587_2026_3090_MOESM4_ESM.xlsx",matched_by_normalized_name,TRUE,C[C@H](Nc1ncnc2[nH]cnc12)c1cc2cccc(Cl)c2c(=O)n1-c1ccccc1,SJVQHLPISAIATJ-ZDUSSCGKSA-N,TRUE
Encorafenib,Encorafenib,BRAF,BRAF V600E or V600K mutation positive melanoma with binimetinib; BRAF V600E mutation positive colorectal cancer with cetuximab,FDA Approved,C[C@@H](CNc1nccc(n1)c2cn(nc2c3cc(cc(c3F)NS(=O)(=O)C)Cl)C(C)C)NC(=O)OC,CMJCXYNUCSMDBY-ZDUSSCGKSA-N,PKIDB 2020 CSV,https://github.com/volkamerlab/pkidb_klifs/raw/refs/heads/master/results/pkidb_20200218.csv,"Nature Supplementary Table S1, https://static-content.springer.com/esm/art%3A10.1038%2Fs41587-026-03090-8/MediaObjects/41587_2026_3090_MOESM4_ESM.xlsx",matched_by_normalized_name,TRUE,COC(=O)N[C@@H](C)CNc1nccc(-c2cn(C(C)C)nc2-c2cc(Cl)cc(NS(C)(=O)=O)c2F)n1,CMJCXYNUCSMDBY-ZDUSSCGKSA-N,TRUE
Entrectinib,Entrectinib,TRKA,"Solid tumors with NTRK fusion proteins, ROS1-positive NSCLC",FDA Approved,CN1CCN(CC1)c2ccc(c(c2)NC3CCOCC3)C(=O)Nc4c5cc(ccc5[nH]n4)Cc6cc(cc(c6)F)F,HAYYBYPASCDWEQ-UHFFFAOYSA-N,PKIDB 2020 CSV,https://github.com/volkamerlab/pkidb_klifs/raw/refs/heads/master/results/pkidb_20200218.csv,"Nature Supplementary Table S1, https://static-content.springer.com/esm/art%3A10.1038%2Fs41587-026-03090-8/MediaObjects/41587_2026_3090_MOESM4_ESM.xlsx",matched_by_normalized_name,TRUE,CN1CCN(c2ccc(C(=O)Nc3n[nH]c4ccc(Cc5cc(F)cc(F)c5)cc34)c(NC3CCOCC3)c2)CC1,HAYYBYPASCDWEQ-UHFFFAOYSA-N,TRUE
Erdafitinib,Erdafitinib,FGFR1,Urothelial bladder cancer,FDA Approved,CC(C)NCCN(c1ccc2c(c1)nc(cn2)c3cnn(c3)C)c4cc(cc(c4)OC)OC,OLAHOMJCDNXHFI-UHFFFAOYSA-N,PKIDB 2020 CSV,https://github.com/volkamerlab/pkidb_klifs/raw/refs/heads/master/results/pkidb_20200218.csv,"Nature Supplementary Table S1, https://static-content.springer.com/esm/art%3A10.1038%2Fs41587-026-03090-8/MediaObjects/41587_2026_3090_MOESM4_ESM.xlsx",matched_by_normalized_name,TRUE,COc1cc(OC)cc(N(CCNC(C)C)c2ccc3ncc(-c4cnn(C)c4)nc3c2)c1,OLAHOMJCDNXHFI-UHFFFAOYSA-N,TRUE
Erlotinib,Erlotinib,EGFR,"NSCLC, pancreatic cancer",FDA Approved,COCCOc1cc2c(cc1OCCOC)ncnc2Nc3cccc(c3)C#C,AAKJLRGGTJKAMG-UHFFFAOYSA-N,PKIDB 2020 CSV,https://github.com/volkamerlab/pkidb_klifs/raw/refs/heads/master/results/pkidb_20200218.csv,"Nature Supplementary Table S1, https://static-content.springer.com/esm/art%3A10.1038%2Fs41587-026-03090-8/MediaObjects/41587_2026_3090_MOESM4_ESM.xlsx",matched_by_normalized_name,TRUE,C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1,AAKJLRGGTJKAMG-UHFFFAOYSA-N,TRUE
Everolimus,Everolimus,"FKBP12, MTOR_FRAP1","HER2-negative breast cancer, pancreatic neuroendocrine tumors, RCC, angiomyolipoma, subependymal giant cell astrocytoma",FDA Approved,OCCOC1CCC(CC1OC)CC(C1OC(=O)C2CCCCN2C(=O)C(=O)C2(O)OC(CCC2C)CC(OC)C(=CC=CC=CC(CC(C(=O)C(C(C(=CC(C(=O)C1)C)C)O)OC)C)C)C)C,HKVAMNSJSFKALM-GKUWKFKPSA-N,IUPHAR/BPS Guide to Pharmacology,https://www.guidetopharmacology.org/GRAC/LigandDisplayForward?ligandId=5889&tab=similarity,"Nature Supplementary Table S1, https://static-content.springer.com/esm/art%3A10.1038%2Fs41587-026-03090-8/MediaObjects/41587_2026_3090_MOESM4_ESM.xlsx",manual_update_from_IUPHAR; stereochemistry_ambiguity_noted_by_source,TRUE,C[C@@H]1CC[C@H]2C[C@@H](/C(=C/C=C/C=C/[C@H](C[C@H](C(=O)[C@@H]([C@@H](/C(=C/[C@H](C(=O)C[C@H](OC(=O)[C@@H]3CCCCN3C(=O)C(=O)[C@@]1(O2)O)[C@H](C)C[C@@H]4CC[C@H]([C@@H](C4)OC)OCCO)C)/C)O)OC)C)C)/C)OC,HKVAMNSJSFKALM-GKUWKFKPSA-N,TRUE
Fedratinib,Fedratinib,JAK2,Myelofibrosis,FDA Approved,Cc1cnc(nc1Nc2cccc(c2)S(=O)(=O)NC(C)(C)C)Nc3ccc(cc3)OCCN4CCCC4,JOOXLOJCABQBSG-UHFFFAOYSA-N,PKIDB 2020 CSV,https://github.com/volkamerlab/pkidb_klifs/raw/refs/heads/master/results/pkidb_20200218.csv,"Nature Supplementary Table S1, https://static-content.springer.com/esm/art%3A10.1038%2Fs41587-026-03090-8/MediaObjects/41587_2026_3090_MOESM4_ESM.xlsx",matched_by_normalized_name,TRUE,Cc1cnc(Nc2ccc(OCCN3CCCC3)cc2)nc1Nc1cccc(S(=O)(=O)NC(C)(C)C)c1,JOOXLOJCABQBSG-UHFFFAOYSA-N,TRUE
