DRUG_NAME,UNIPROT_ID,exp_inh,label,pred_score,zscore_mean,rank_mean
Abemaciclib,P06241,18.870000000000005,0,1.794,-1.794,39.0
Abemaciclib,P06493,62.213,1,0.375,-0.375,204.0
Abemaciclib,P07332,25.540000000000006,0,1.677,-1.677,52.0
Abemaciclib,P07333,53.065,1,1.619,-1.619,60.0
Abemaciclib,P07947,23.578000000000003,0,-0.274,0.274,288.0
Abemaciclib,P07948,8.203999999999994,0,0.966,-0.966,142.0
Abemaciclib,P07949,0.0,0,1.282,-1.282,98.0
Abemaciclib,P08069,17.319000000000003,0,1.464,-1.464,72.0
Abemaciclib,P08581,28.843000000000004,0,1.765,-1.765,41.0
Abemaciclib,P08631,5.159999999999997,0,-0.371,0.371,311.0
Abemaciclib,P08922,81.05,1,1.946,-1.946,25.0
Abemaciclib,P09619,18.507999999999996,0,1.334,-1.334,91.0
Abemaciclib,P09769,1.480000000000004,0,-0.089,0.089,258.0
Abemaciclib,P10398,44.228,0,-0.944,0.944,515.0
Abemaciclib,P10721,14.557000000000002,0,1.912,-1.912,28.0
Abemaciclib,P11309,98.804,1,-0.678,0.678,405.0
Abemaciclib,P11362,1.6940000000000026,0,1.437,-1.437,76.0
Abemaciclib,P11802,100.0,1,2.401,-2.401,1.0
Abemaciclib,P12931,13.298000000000002,0,1.291,-1.291,96.0
Abemaciclib,P14616,6.426000000000002,0,0.866,-0.866,158.0
Abemaciclib,P15056,24.378,0,-0.56,0.56,372.0
Abemaciclib,P15735,4.963999999999999,0,-1.016,1.016,548.0
Abemaciclib,P16234,10.477999999999994,0,1.579,-1.579,64.0
Abemaciclib,P16591,0.0,0,1.974,-1.974,23.0
Abemaciclib,P17252,87.976,1,1.56,-1.56,66.0
Abemaciclib,P17612,11.341999999999999,0,1.81,-1.81,36.0
Abemaciclib,P17948,0.0,0,2.137,-2.137,10.0
Abemaciclib,P19525,89.975,1,0.275,-0.275,216.0
Abemaciclib,P19784,89.55799999999999,1,-0.653,0.653,397.0
Abemaciclib,P20794,95.747,1,1.191,-1.191,107.0
Abemaciclib,P21127,99.466,1,2.212,-2.212,5.0
Abemaciclib,P21709,12.771,0,-0.548,0.548,367.0
Abemaciclib,P21802,3.6569999999999965,0,0.786,-0.786,167.0
Abemaciclib,P22455,1.2210000000000036,0,1.43,-1.43,79.0
Abemaciclib,P22607,1.1380000000000052,0,1.126,-1.126,112.0
Abemaciclib,P22612,16.808999999999997,0,-0.034,0.034,250.0
Abemaciclib,P22694,24.563000000000002,0,-0.551,0.551,368.0
Abemaciclib,P23443,18.545,0,0.53,-0.53,188.0
Abemaciclib,P23458,0.0,0,-0.375,0.375,312.0
Abemaciclib,P24723,63.944,1,-0.613,0.613,383.0
Abemaciclib,P24941,94.103,1,-0.15,0.15,265.0
Abemaciclib,P25098,0.0,0,0.993,-0.993,136.0
Abemaciclib,P27361,8.210999999999999,0,1.598,-1.598,63.0
Abemaciclib,P27448,17.313000000000002,0,0.742,-0.742,171.0
Abemaciclib,P28482,6.721000000000004,0,1.473,-1.473,71.0
Abemaciclib,P29317,7.126000000000005,0,0.823,-0.823,163.0
Abemaciclib,P29320,4.078000000000003,0,0.609,-0.609,180.0
Abemaciclib,P29322,1.7090000000000032,0,-0.347,0.347,302.0
Abemaciclib,P29323,0.0,0,-1.258,1.258,603.0
Abemaciclib,P29376,22.683999999999997,0,0.309,-0.309,213.0
Abemaciclib,P29597,0.5949999999999989,0,-0.36,0.36,307.0
Abemaciclib,P30291,0.0,0,2.005,-2.005,19.0
Abemaciclib,P30530,15.620999999999995,0,0.416,-0.416,201.0
Abemaciclib,P31749,7.491,0,-0.519,0.519,359.0
Abemaciclib,P31751,11.447000000000003,0,0.242,-0.242,221.0
Abemaciclib,P32298,6.7690000000000055,0,1.636,-1.636,57.0
Abemaciclib,P34947,0.0,0,2.077,-2.077,13.0
Abemaciclib,P35557,32.31399999999999,0,-0.462,0.462,338.0
Abemaciclib,P35626,0.0,0,1.252,-1.252,103.0
Abemaciclib,P35916,18.549999999999997,0,1.871,-1.871,31.0
Abemaciclib,P35968,3.084000000000003,0,1.717,-1.717,46.0
Abemaciclib,P36507,15.503,0,-0.244,0.244,281.0
Abemaciclib,P36888,78.214,1,1.711,-1.711,48.0
Abemaciclib,P36894,2.680000000000007,0,0.948,-0.948,143.0
Abemaciclib,P36896,4.445999999999998,0,1.133,-1.133,111.0
Abemaciclib,P36897,0.0,0,1.007,-1.007,130.0
Abemaciclib,P37023,1.5109999999999957,0,-0.325,0.325,296.0
Abemaciclib,P37173,0.0,0,-0.93,0.93,506.0
Abemaciclib,P41240,8.543999999999997,0,1.188,-1.188,108.0
Abemaciclib,P41279,7.709999999999994,0,0.337,-0.337,211.0
Abemaciclib,P41743,13.597999999999999,0,1.01,-1.01,129.0
Abemaciclib,P42345,17.718000000000004,0,-0.911,0.911,498.0
Abemaciclib,P42679,7.138999999999996,0,0.136,-0.136,235.0
Abemaciclib,P42680,9.096000000000004,0,-0.599,0.599,378.0
Abemaciclib,P42681,4.771000000000001,0,0.235,-0.235,223.0
Abemaciclib,P42684,13.617999999999995,0,1.336,-1.336,90.0
Abemaciclib,P42685,1.448999999999998,0,-0.767,0.767,437.0
Abemaciclib,P43250,10.406000000000006,0,2.072,-2.072,15.0
Abemaciclib,P43403,0.0,0,1.284,-1.284,97.0
Abemaciclib,P43405,0.0,0,0.148,-0.148,233.0
Abemaciclib,P45983,64.757,1,-0.33,0.33,299.0
Abemaciclib,P45984,25.796999999999997,0,-0.749,0.749,430.0
Abemaciclib,P45985,47.196,0,-0.852,0.852,472.0
Abemaciclib,P46734,31.165000000000006,0,0.937,-0.937,146.0
Abemaciclib,P48729,0.0,0,-1.144,1.144,591.0
Abemaciclib,P48730,28.933999999999997,0,-0.913,0.913,501.0
Abemaciclib,P49137,1.6059999999999945,0,1.221,-1.221,106.0
Abemaciclib,P49336,77.342,1,0.608,-0.608,181.0
Abemaciclib,P49674,15.171999999999997,0,-0.813,0.813,456.0
Abemaciclib,P49760,96.14,1,-0.431,0.431,330.0
Abemaciclib,P49761,0.0,0,0.579,-0.579,182.0
Abemaciclib,P49840,97.211,1,1.027,-1.027,126.0
Abemaciclib,P49841,96.469,1,0.977,-0.977,140.0
Abemaciclib,P50613,43.101,0,-0.491,0.491,349.0
Abemaciclib,P50750,99.032,1,0.176,-0.176,230.0
Abemaciclib,P51451,1.3659999999999997,0,1.344,-1.344,87.0
Abemaciclib,P51617,98.335,1,1.434,-1.434,77.0
Abemaciclib,P51812,14.86,0,-0.704,0.704,414.0
Abemaciclib,P51813,0.6059999999999945,0,0.876,-0.876,156.0
Abemaciclib,P51817,9.992999999999995,0,-0.051,0.051,252.0
Abemaciclib,P51955,6.180999999999997,0,0.852,-0.852,159.0
Abemaciclib,P51956,14.480999999999995,0,1.094,-1.094,118.0
Abemaciclib,P51957,71.388,1,1.336,-1.336,89.0
Abemaciclib,P52333,31.299999999999997,0,2.126,-2.126,11.0
Abemaciclib,P52564,0.0,0,0.67,-0.67,177.0
Abemaciclib,P53350,10.653999999999996,0,0.991,-0.991,137.0
Abemaciclib,P53355,26.382999999999996,0,-0.734,0.734,425.0
Abemaciclib,P53667,8.168999999999997,0,-0.455,0.455,336.0
Abemaciclib,P53671,4.045000000000002,0,-0.06,0.06,254.0
Abemaciclib,P53778,4.292000000000002,0,-0.165,0.165,266.0
Abemaciclib,P53779,74.411,1,-0.365,0.365,309.0
Abemaciclib,P54646,50.613,1,-0.419,0.419,325.0
Abemaciclib,P54753,0.0,0,-1.014,1.014,547.0
Abemaciclib,P54756,6.173000000000002,0,-0.359,0.359,305.0
Abemaciclib,P54760,0.0,0,-1.081,1.081,568.0
Abemaciclib,P54762,7.555000000000007,0,-0.795,0.795,449.0
Abemaciclib,P54764,9.495000000000005,0,0.196,-0.196,228.0
Abemaciclib,P57059,7.114000000000004,0,-0.855,0.855,473.0
Abemaciclib,P57078,0.0,0,0.204,-0.204,226.0
Abemaciclib,P68400,43.187,0,-0.509,0.509,353.0
Abemaciclib,P78362,2.9909999999999997,0,0.011,-0.011,245.0
Abemaciclib,P78368,27.878,0,-1.023,1.023,553.0
Abemaciclib,P80192,26.650999999999996,0,-0.876,0.876,480.0
Abemaciclib,Q00526,62.079,1,-0.562,0.562,373.0
Abemaciclib,Q00534,99.297,1,0.429,-0.429,196.0
Abemaciclib,Q00535,79.576,1,1.419,-1.419,82.0
Abemaciclib,Q00536,92.716,1,1.268,-1.268,101.0
Abemaciclib,Q00537,85.136,1,1.265,-1.265,102.0
Abemaciclib,Q02156,85.098,1,-0.516,0.516,355.0
Abemaciclib,Q02750,0.0,0,0.987,-0.987,138.0
Abemaciclib,Q02763,5.2180000000000035,0,-0.615,0.615,385.0
Abemaciclib,Q02779,23.674999999999997,0,-0.665,0.665,400.0
Abemaciclib,Q04759,29.418999999999997,0,0.365,-0.365,206.0
Abemaciclib,Q04771,0.0,0,1.12,-1.12,113.0
Abemaciclib,Q04912,5.054000000000002,0,1.975,-1.975,22.0
Abemaciclib,Q05397,25.229,0,1.282,-1.282,99.0
Abemaciclib,Q05513,4.546999999999997,0,-0.844,0.844,466.0
Abemaciclib,Q05655,78.493,1,-0.8,0.8,451.0
Abemaciclib,Q06187,4.037999999999997,0,2.211,-2.211,6.0
Abemaciclib,Q06418,31.117000000000004,0,1.452,-1.452,75.0
Abemaciclib,Q07002,86.702,1,1.024,-1.024,127.0
Abemaciclib,Q07912,6.034000000000006,0,-0.606,0.606,380.0
Abemaciclib,Q08345,50.725,1,0.92,-0.92,151.0
Abemaciclib,Q08881,0.0,0,0.067,-0.067,242.0
Abemaciclib,Q09013,5.043999999999997,0,0.357,-0.357,208.0
Abemaciclib,Q12852,23.274,0,0.426,-0.426,198.0
Abemaciclib,Q12866,20.522999999999996,0,0.967,-0.967,141.0
Abemaciclib,Q13043,0.0,0,1.979,-1.979,21.0
Abemaciclib,Q13131,32.617000000000004,0,-0.745,0.745,429.0
Abemaciclib,Q13153,5.587999999999994,0,1.393,-1.393,84.0
Abemaciclib,Q13163,4.882999999999996,0,-0.502,0.502,352.0
Abemaciclib,Q13164,6.025000000000006,0,0.231,-0.231,224.0
Abemaciclib,Q13177,12.557000000000002,0,0.393,-0.393,202.0
Abemaciclib,Q13188,10.432000000000002,0,2.283,-2.283,3.0
Abemaciclib,Q13233,4.087000000000003,0,-1.021,1.021,551.0
Abemaciclib,Q13237,13.378,0,-0.038,0.038,251.0
Abemaciclib,Q13464,41.886,0,-0.07,0.07,255.0
Abemaciclib,Q13470,20.900000000000006,0,-1.134,1.134,587.0
Abemaciclib,Q13554,98.618,1,-0.33,0.33,298.0
Abemaciclib,Q13555,82.05,1,-1.044,1.044,557.0
Abemaciclib,Q13557,98.608,1,1.237,-1.237,105.0
Abemaciclib,Q13627,97.681,1,1.662,-1.662,54.0
Abemaciclib,Q13873,54.778,1,0.257,-0.257,219.0
Abemaciclib,Q13882,4.176000000000002,0,-0.353,0.353,303.0
Abemaciclib,Q13976,23.016000000000005,0,-0.525,0.525,361.0
Abemaciclib,Q14012,10.191999999999993,0,-0.788,0.788,445.0
Abemaciclib,Q14164,31.461,0,1.66,-1.66,55.0
Abemaciclib,Q14289,57.256,1,1.003,-1.003,132.0
Abemaciclib,Q14680,19.662000000000006,0,0.993,-0.993,135.0
Abemaciclib,Q15139,85.17099999999999,1,0.902,-0.902,153.0
Abemaciclib,Q15208,34.373999999999995,0,-0.795,0.795,447.0
Abemaciclib,Q15303,12.507999999999996,0,0.799,-0.799,166.0
Abemaciclib,Q15349,27.852000000000004,0,-0.707,0.707,415.0
Abemaciclib,Q15375,8.067999999999998,0,-0.814,0.814,457.0
Abemaciclib,Q15418,0.0,0,-0.358,0.358,304.0
Abemaciclib,Q15569,6.701999999999998,0,0.579,-0.579,183.0
Abemaciclib,Q15746,38.613,0,-0.891,0.891,485.0
Abemaciclib,Q15759,0.0,0,-0.177,0.177,269.0
Abemaciclib,Q15831,2.7960000000000065,0,2.076,-2.076,14.0
Abemaciclib,Q15835,18.625,0,2.038,-2.038,18.0
Abemaciclib,Q16288,70.43299999999999,1,1.623,-1.623,59.0
Abemaciclib,Q16512,40.979,0,0.93,-0.93,148.0
Abemaciclib,Q16513,24.445999999999998,0,-0.25,0.25,283.0
Abemaciclib,Q16539,5.566999999999993,0,-0.241,0.241,280.0
Abemaciclib,Q16566,9.117999999999995,0,-0.865,0.865,475.0
Abemaciclib,Q16584,28.372,0,-0.932,0.932,508.0
Abemaciclib,Q16620,3.997,0,0.812,-0.812,165.0
Abemaciclib,Q16644,4.444000000000003,0,2.053,-2.053,17.0
Abemaciclib,Q16816,91.42,1,-0.455,0.455,337.0
Abemaciclib,Q16832,25.992000000000004,0,0.888,-0.888,155.0
Abemaciclib,Q32MK0,17.135000000000005,0,-0.774,0.774,438.0
Abemaciclib,Q52WX2,1.5849999999999937,0,-0.779,0.779,440.0
Abemaciclib,Q5S007,79.132,1,0.459,-0.459,191.0
Abemaciclib,Q5TCX8,0.0,0,-1.135,1.135,589.0
Abemaciclib,Q5TCY1,12.665999999999997,0,-0.904,0.904,493.0
Abemaciclib,Q5VT25,68.83,1,-0.422,0.422,328.0
Abemaciclib,Q6DT37,93.248,1,-0.369,0.369,310.0
Abemaciclib,Q6IQ55,5.298000000000002,0,-1.114,1.114,581.0
Abemaciclib,Q6P2M8,8.965000000000003,0,-1.13,1.13,586.0
Abemaciclib,Q6P3R8,7.4339999999999975,0,1.521,-1.521,70.0
Abemaciclib,Q6P5Z2,12.153000000000006,0,-0.851,0.851,471.0
Abemaciclib,Q6PHR2,15.816000000000003,0,1.523,-1.523,69.0
Abemaciclib,Q6VAB6,11.722999999999999,0,-0.481,0.481,347.0
Abemaciclib,Q6XUX3,8.819000000000003,0,-0.757,0.757,432.0
Abemaciclib,Q76MJ5,12.982,0,1.092,-1.092,119.0
Abemaciclib,Q7KZI7,11.700000000000003,0,1.04,-1.04,124.0
Abemaciclib,Q7L7X3,78.51,1,0.655,-0.655,179.0
Abemaciclib,Q86SG6,0.0,0,-0.58,0.58,376.0
Abemaciclib,Q86UE8,37.839,0,1.675,-1.675,53.0
Abemaciclib,Q86UX6,8.150999999999996,0,0.164,-0.164,231.0
Abemaciclib,Q86V86,99.963,1,-0.937,0.937,510.0
Abemaciclib,Q86Y07,6.301000000000002,0,-0.848,0.848,468.0
Abemaciclib,Q86YV6,67.274,1,-0.338,0.338,301.0
Abemaciclib,Q86Z02,83.637,1,0.198,-0.198,227.0
Abemaciclib,Q8IU85,34.138999999999996,0,-0.791,0.791,446.0
Abemaciclib,Q8IVH8,20.212000000000003,0,1.657,-1.657,56.0
Abemaciclib,Q8IVT5,1.222999999999999,0,-0.779,0.779,441.0
Abemaciclib,Q8IW41,7.347999999999999,0,1.102,-1.102,117.0
Abemaciclib,Q8IWQ3,6.272000000000006,0,-0.326,0.326,297.0
Abemaciclib,Q8IYT8,15.497,0,2.377,-2.377,2.0
Abemaciclib,Q8N4C8,79.257,1,1.726,-1.726,44.0
Abemaciclib,Q8N568,34.494,0,-0.93,0.93,507.0
Abemaciclib,Q8N5S9,52.685,1,0.338,-0.338,210.0
Abemaciclib,Q8N752,0.0,0,-0.625,0.625,389.0
Abemaciclib,Q8NE63,59.825,1,-0.467,0.467,340.0
Abemaciclib,Q8NEV4,32.92,0,0.716,-0.716,173.0
Abemaciclib,Q8NG66,11.061000000000007,0,1.955,-1.955,24.0
Abemaciclib,Q8TD08,96.695,1,-0.654,0.654,398.0
Abemaciclib,Q8TD19,0.9980000000000047,0,0.939,-0.939,145.0
Abemaciclib,Q8TDC3,0.0,0,0.08,-0.08,239.0
Abemaciclib,Q8TDX7,3.852000000000004,0,-1.081,1.081,567.0
Abemaciclib,Q8TF76,88.867,1,-0.616,0.616,386.0
Abemaciclib,Q8WTQ7,2.415999999999997,0,1.029,-1.029,125.0
Abemaciclib,Q8WXR4,35.42700000000001,0,0.698,-0.698,175.0
Abemaciclib,Q92630,97.141,1,-0.797,0.797,450.0
Abemaciclib,Q92918,42.114,0,1.873,-1.873,29.0
Abemaciclib,Q96BR1,17.319000000000003,0,-1.228,1.228,600.0
Abemaciclib,Q96GD4,7.753,0,1.408,-1.408,83.0
Abemaciclib,Q96GX5,9.405000000000001,0,-0.846,0.846,467.0
Abemaciclib,Q96KB5,8.421000000000006,0,1.067,-1.067,122.0
Abemaciclib,Q96L34,11.616,0,0.303,-0.303,214.0
Abemaciclib,Q96NX5,38.316,0,0.034,-0.034,243.0
Abemaciclib,Q96PF2,2.551000000000002,0,-0.218,0.218,277.0
Abemaciclib,Q96PN8,16.132999999999996,0,-0.939,0.939,512.0
Abemaciclib,Q96PY6,13.125,0,1.575,-1.575,65.0
Abemaciclib,Q96QT4,9.341999999999999,0,-0.113,0.113,260.0
Abemaciclib,Q96RG2,88.267,1,-0.135,0.135,263.0
Abemaciclib,Q96RR4,84.82,1,-0.056,0.056,253.0
Abemaciclib,Q96S53,3.7930000000000064,0,-0.865,0.865,477.0
Abemaciclib,Q96SB4,0.48699999999999477,0,0.44,-0.44,195.0
Abemaciclib,Q99640,79.866,1,0.868,-0.868,157.0
Abemaciclib,Q99683,7.058000000000007,0,0.57,-0.57,185.0
Abemaciclib,Q99759,0.0,0,0.831,-0.831,160.0
Abemaciclib,Q99986,16.64,0,-0.317,0.317,294.0
Abemaciclib,Q9BQI3,0.0,0,1.872,-1.872,30.0
Abemaciclib,Q9BUB5,41.285,0,0.258,-0.258,218.0
Abemaciclib,Q9BWU1,78.605,1,-0.319,0.319,295.0
Abemaciclib,Q9BXA6,3.6979999999999933,0,-0.849,0.849,469.0
Abemaciclib,Q9BXA7,48.978,0,-1.279,1.279,606.0
Abemaciclib,Q9BYP7,6.9069999999999965,0,-0.45,0.45,335.0
Abemaciclib,Q9BYT3,75.53999999999999,1,0.659,-0.659,178.0
Abemaciclib,Q9BZL6,74.77199999999999,1,0.995,-0.995,134.0
Abemaciclib,Q9H093,61.2,1,-0.281,0.281,289.0
Abemaciclib,Q9H0K1,6.073999999999998,0,0.271,-0.271,217.0
Abemaciclib,Q9H1R3,36.781,0,-0.38,0.38,313.0
Abemaciclib,Q9H2K8,34.497,0,0.248,-0.248,220.0
Abemaciclib,Q9H2X6,98.17,1,1.252,-1.252,104.0
Abemaciclib,Q9H3Y6,6.138000000000005,0,-0.359,0.359,306.0
Abemaciclib,Q9H422,92.259,1,0.911,-0.911,152.0
Abemaciclib,Q9H4A3,2.1069999999999993,0,-0.651,0.651,395.0
Abemaciclib,Q9H4B4,2.445999999999998,0,-0.929,0.929,505.0
Abemaciclib,Q9HAZ1,96.46,1,0.008,-0.008,246.0
Abemaciclib,Q9HBH9,26.888000000000005,0,-0.364,0.364,308.0
Abemaciclib,Q9HBY8,57.671,1,-0.901,0.901,491.0
Abemaciclib,Q9HC98,0.0,0,-0.968,0.968,527.0
Abemaciclib,Q9HCP0,8.638999999999996,0,-0.692,0.692,410.0
Abemaciclib,Q9NQU5,10.608000000000004,0,-0.211,0.211,276.0
Abemaciclib,Q9NR20,21.712000000000003,0,-0.44,0.44,334.0
Abemaciclib,Q9NRH2,1.9669999999999987,0,0.571,-0.571,184.0
Abemaciclib,Q9NRM7,16.113,0,-0.909,0.909,497.0
Abemaciclib,Q9NWZ3,1.2249999999999943,0,2.071,-2.071,16.0
Abemaciclib,Q9NY57,0.0,0,0.561,-0.561,187.0
Abemaciclib,Q9NYL2,0.0,0,-0.407,0.407,321.0
Abemaciclib,Q9NYY3,0.0,0,0.239,-0.239,222.0
Abemaciclib,Q9NZJ5,4.882000000000005,0,1.088,-1.088,120.0
Abemaciclib,Q9P0L2,8.412999999999997,0,0.698,-0.698,174.0
Abemaciclib,Q9P1W9,48.429,0,-0.805,0.805,454.0
Abemaciclib,Q9P289,0.0,0,0.389,-0.389,203.0
Abemaciclib,Q9P2K8,24.445999999999998,0,1.277,-1.277,100.0
Abemaciclib,Q9UBE8,0.0,0,1.426,-1.426,80.0
Abemaciclib,Q9UBS0,4.728999999999999,0,0.142,-0.142,234.0
Abemaciclib,Q9UEE5,11.367999999999995,0,-0.031,0.031,249.0
Abemaciclib,Q9UEW8,70.525,1,-0.734,0.734,424.0
Abemaciclib,Q9UF33,11.786000000000001,0,-0.128,0.128,261.0
Abemaciclib,Q9UHD2,21.698999999999998,0,0.119,-0.119,238.0
Abemaciclib,Q9UIK4,51.631,1,-1.2,1.2,595.0
Abemaciclib,Q9UK32,22.426000000000002,0,-0.519,0.519,358.0
Abemaciclib,Q9UKE5,79.269,1,1.854,-1.854,32.0
Abemaciclib,Q9UKI8,12.314999999999998,0,1.802,-1.802,38.0
Abemaciclib,Q9UL54,77.289,1,0.426,-0.426,199.0
Abemaciclib,Q9UM73,19.480999999999995,0,1.988,-1.988,20.0
Abemaciclib,Q9UPE1,2.566999999999993,0,0.154,-0.154,232.0
Abemaciclib,Q9UPZ9,96.255,1,1.456,-1.456,74.0
Abemaciclib,Q9UQB9,3.9710000000000036,0,1.434,-1.434,78.0
Abemaciclib,Q9UQM7,99.69,1,0.683,-0.683,176.0
Abemaciclib,Q9Y243,0.0,0,-1.088,1.088,572.0
Abemaciclib,Q9Y2H1,27.093000000000004,0,-0.918,0.918,502.0
Abemaciclib,Q9Y2K2,3.7480000000000047,0,0.217,-0.217,225.0
Abemaciclib,Q9Y2U5,6.331000000000003,0,0.824,-0.824,162.0
Abemaciclib,Q9Y3S1,3.1979999999999933,0,-0.737,0.737,427.0
Abemaciclib,Q9Y463,98.872,1,2.155,-2.155,9.0
Abemaciclib,Q9Y4K4,24.837999999999994,0,-0.137,0.137,264.0
Abemaciclib,Q9Y572,8.316000000000003,0,0.328,-0.328,212.0
Abemaciclib,Q9Y5S2,74.798,1,0.07,-0.07,240.0
Abemaciclib,Q9Y6E0,29.195999999999998,0,1.343,-1.343,88.0
Abemaciclib,Q9Y6M4,17.073999999999998,0,-0.893,0.893,487.0
Abrocitinib,O00141,4.590000000000003,0,1.648,-1.648,20.0
Abrocitinib,O00238,0.0,0,0.904,-0.904,128.0
Abrocitinib,O00311,0.0,0,1.711,-1.711,16.0
Abrocitinib,O00418,0.0,0,-1.283,1.283,523.0
Abrocitinib,O00444,12.549999999999997,0,0.307,-0.307,275.0
Abrocitinib,O00506,4.575000000000003,0,1.163,-1.163,76.0
Abrocitinib,O14578,7.045000000000002,0,1.364,-1.364,47.0
Abrocitinib,O14733,0.3649999999999949,0,1.005,-1.005,112.0
Abrocitinib,O14757,0.0,0,0.625,-0.625,199.0
Abrocitinib,O14920,11.825000000000003,0,0.744,-0.744,167.0
Abrocitinib,O14965,55.645,1,0.983,-0.983,117.0
Abrocitinib,O15075,5.614999999999995,0,0.797,-0.797,156.0
Abrocitinib,O15111,0.0,0,1.092,-1.092,93.0
Abrocitinib,O15146,2.6650000000000063,0,0.276,-0.276,283.0
Abrocitinib,O15264,5.150000000000006,0,0.282,-0.282,282.0
Abrocitinib,O15530,5.715000000000003,0,1.328,-1.328,50.0
Abrocitinib,O43293,8.944999999999993,0,-1.45,1.45,576.0
Abrocitinib,O43318,34.66,0,1.334,-1.334,49.0
Abrocitinib,O43353,9.659999999999997,0,-0.087,0.087,351.0
Abrocitinib,O43781,10.674999999999997,0,-0.53,0.53,417.0
Abrocitinib,O60285,12.790000000000006,0,0.607,-0.607,206.0
Abrocitinib,O60307,0.0,0,1.563,-1.563,25.0
Abrocitinib,O60674,92.635,1,1.601,-1.601,23.0
Abrocitinib,O75116,26.569999999999993,0,1.392,-1.392,43.0
Abrocitinib,O75385,17.635000000000005,0,0.909,-0.909,127.0
Abrocitinib,O75460,3.0849999999999937,0,-0.419,0.419,396.0
Abrocitinib,O75582,5.609999999999999,0,-0.544,0.544,418.0
Abrocitinib,O75676,0.0,0,-0.891,0.891,452.0
Abrocitinib,O75716,14.735,0,-0.905,0.905,454.0
Abrocitinib,O75914,0.0,0,1.2,-1.2,70.0
Abrocitinib,O94804,16.540000000000006,0,0.434,-0.434,247.0
Abrocitinib,O94806,9.474999999999994,0,0.601,-0.601,209.0
Abrocitinib,O94921,1.875,0,-0.153,0.153,361.0
Abrocitinib,O95382,14.985,0,0.857,-0.857,143.0
Abrocitinib,O95747,12.939999999999998,0,1.407,-1.407,38.0
Abrocitinib,O95819,0.9849999999999994,0,0.488,-0.488,235.0
Abrocitinib,O95835,29.644999999999996,0,0.393,-0.393,256.0
Abrocitinib,O96013,0.0,0,1.027,-1.027,108.0
Abrocitinib,O96017,7.689999999999998,0,0.377,-0.377,261.0
Abrocitinib,P00519,12.14,0,-0.223,0.223,375.0
