UNIPROT,mp_AK,mp_RTM,n,n_pdb,in_pdb
O95544,0.8727054877373872,0.915522931357259,92,0,False
O95747,0.4481356859990753,0.3265091540718889,92,0,False
O95819,0.2376547685583253,0.25811149056077276,92,9,True
O95835,0.3660921820699798,0.640251055067803,92,0,False
O96013,0.45567238515657865,0.25597779718058744,92,12,True
O96017,0.4336950126953205,0.15250301311072878,92,30,True
P00519,0.26766493274860603,0.13115423651412988,92,20,True
P00533,0.15607309982183926,0.10557746330693037,92,82,True
P00540,0.5748824639817477,0.5059893755118073,92,0,False
P00568,0.8403937346525749,0.5652374540067059,92,0,False
P04049,0.38618190461541974,0.277286800185463,92,0,False
P04183,0.7994927498541494,0.6235730817386489,92,0,False
P04626,0.25869323836028746,0.16118894219558969,92,2,True
P04629,0.13915305307774412,0.09586727077915402,92,18,True
P05129,0.5305730093400943,0.48273202683675726,92,0,False
P05771,0.39671397016906046,0.5031529172877448,92,1,True
P06213,0.18750280169473915,0.10261049699818402,92,6,True
P06239,0.1763657202556618,0.0926294010972502,92,23,True
P06241,0.2874328636207878,0.2615043362924846,92,2,True
P06493,0.42778878192693726,0.2166607041428709,92,6,True
P06732,0.8177707625966287,0.633707788171971,92,0,False
P07205,0.8891111268808022,0.7632144184344783,92,0,False
P07332,0.36203826895745767,0.22018840053348113,92,2,True
P07333,0.12561331011124668,0.084346507359563,92,10,True
P07947,0.40889523825118584,0.36570309339568124,92,0,False
P07948,0.23365576182254924,0.16915167943982073,92,1,True
P07949,0.18951110068659796,0.07247890235065178,92,7,True
P08069,0.21708350709919125,0.19811778083852669,92,17,True
P08237,0.6748136299188056,0.8064515132885057,92,0,False
P08581,0.09186806077018303,0.1254292236638759,92,57,True
P08631,0.27825733258113095,0.18907804577904358,92,10,True
P08922,0.2581735484867072,0.2164796065050574,92,2,True
P09619,0.3939502060547479,0.43881901159511116,92,0,False
P09769,0.21180533119072162,0.21682753191245493,92,0,False
P0C1S8,0.4420398755643446,0.20451509506536522,92,1,True
P0C263,0.4903050148145122,0.8544179542301741,92,0,False
P0C264,0.35945850912971167,0.6488386154667881,92,0,False
P10398,0.460597138019159,0.6280508622351161,92,0,False
P10721,0.17454217355176313,0.16566686904415415,92,8,True
P11274,0.7491117617600452,0.9832619616416303,92,0,False
P11309,0.3314706719601908,0.36485942174883573,92,89,True
P11362,0.28921798979228547,0.0990769811351633,92,25,True
P11801,0.6450329133103275,0.6944762826271436,92,0,False
P11802,0.40965494431327654,0.572965844033991,92,0,False
P11908,0.9685976101636432,0.9726365980368975,92,0,False
P12277,0.7450305957991786,0.7332642744033724,92,0,False
P12532,0.8561664922083838,0.8307385947917362,92,0,False
P12931,0.16056154624742702,0.12018347049188913,92,38,True
P14616,0.36756469882402704,0.42019210684096364,92,0,False
P14618,0.6796003557269856,0.63776657048699,92,9,True
P15056,0.3854425616427904,0.24836688184528216,92,46,True
P15531,0.9374718535830366,0.644085676099089,92,1,True
P15735,0.408919461741584,0.21416694375834283,92,0,False
P16118,0.6587947483649422,0.5228838411006947,92,0,False
P16234,0.25211191277326306,0.2402993493123212,92,0,False
P16591,0.358158455102964,0.5236124194473101,92,0,False
P17252,0.3840367540412244,0.23509373579768483,92,1,True
P17540,0.7795989848096664,0.7079907346295857,92,0,False
P17612,0.2644552990351793,0.37701737300931865,92,20,True
P17858,0.648759643008394,0.5033454849171275,92,0,False
P17948,0.17099757969190352,0.23350004342469702,92,1,True
P19367,0.7081793278448281,0.8448218985476935,92,0,False
P19525,0.46233516148029585,0.21412245574234015,92,0,False
P19784,0.43834293087440246,0.18461921210216928,92,4,True
P20794,0.5052530027433983,0.5686597019269949,92,0,False
P21108,0.9734458136054851,0.9881369757840284,91,0,False
P21127,0.48262593584697944,0.6082923612592483,92,0,False
P21709,0.4377107349770536,0.3124144073047496,92,0,False
P21802,0.21402562552707585,0.09984368427638637,92,2,True
P21860,0.3699224115263798,0.4018305131280629,92,1,True
P22392,0.9397398606888083,0.5738443326431503,92,2,True
P22455,0.11522917604158511,0.07482848887306401,92,17,True
P22607,0.23930387753952634,0.1200948816081876,92,0,False
P22612,0.49133191942568305,0.6800061303513271,92,0,False
P22694,0.5727296335324574,0.7214843846385705,92,0,False
P23443,0.2625353791538071,0.20189737927145984,92,7,True
P23458,0.25087666926432395,0.12859737157680914,92,26,True
P23677,0.6685013184787489,0.5284630441296718,92,0,False
P23743,0.60987061737234,0.651917261565635,92,0,False
P23919,0.7525639944511542,0.5392712584185532,92,0,False
P24723,0.5631653614065002,0.2509509025749348,92,1,True
P24941,0.2828250805266871,0.11263993979409861,92,255,True
P25098,0.31410132465814095,0.3261216749052795,92,13,True
P27037,0.6242719102643136,0.2933414396460707,92,0,False
P27144,0.8568266473792151,0.7393193578648096,92,0,False
P27361,0.34961140397053214,0.23273623217777792,92,2,True
P27448,0.3274866075679417,0.2086978933860283,92,0,False
P27707,0.6025835645199388,0.5141641882963692,92,16,True
P27987,0.6819364602204716,0.6817999612946144,92,0,False
P28482,0.303594067483853,0.21546484986577533,92,55,True
P29317,0.26839550853785055,0.08780663029154301,92,30,True
P29320,0.26590438074803896,0.1877117352592459,92,1,True
P29322,0.42215984219228786,0.4287978823337243,92,0,False
P29323,0.5269930945284973,0.3502591696666321,92,1,True
P29376,0.5101504420301841,0.4681451009572872,92,0,False
P29597,0.18715598154226026,0.07606053754345185,92,19,True
P30085,0.8864115488182205,0.6486010102670642,92,0,False
P30291,0.4025359387224835,0.1701896621112271,92,11,True
P30530,0.44923270189166487,0.278176744632252,92,1,True
P30613,0.6688678849286572,0.5725799167439153,92,0,False
P31152,0.6674040797586859,0.8845796786780743,92,0,False
P31749,0.41558606704295403,0.33566086587517185,92,19,True
P31751,0.43873747240690625,0.2696257467071856,92,4,True
P32189,0.8015077301768826,0.675094055076888,92,0,False
P32298,0.31427346080523366,0.4698637417181036,92,0,False
P33076,0.5862625385943636,0.8042151271488841,92,0,False
P33981,0.2782960360296358,0.23396415072451532,92,49,True
P34925,0.9168861785976214,0.8831264676328426,90,0,False
P34947,0.3166396244148616,0.2322402612768451,92,0,False
P35557,0.6019767436443644,0.48362179684191786,92,0,False
P35558,0.6683079127965749,0.3844468095384331,92,3,True
P35590,0.6465188023060842,0.5601125665108507,92,0,False
P35626,0.39892512824273413,0.4644346406566733,92,0,False
P35790,0.5975217712125193,0.4780766488023887,92,14,True
P35916,0.32406557870819724,0.6948621478386287,92,0,False
P35968,0.19913053481334547,0.10844165018676662,92,29,True
P36507,0.252101791625253,0.21322899270137669,92,0,False
P36888,0.15495950706477768,0.22785094761530525,92,1,True
P36894,0.42731768097160666,0.4817935989518734,92,0,False
P36896,0.3439591538347472,0.37117044169772045,92,0,False
P36897,0.28098346124929696,0.16254046642447986,92,19,True
P37023,0.5268816225944221,0.4572316719930268,92,0,False
P37173,0.5378516710659447,0.10464051209533042,92,2,True
P41240,0.34537558795839784,0.21911870721228316,92,0,False
P41279,0.35022052328878794,0.3106515775412184,92,3,True
P41743,0.24852931935759898,0.3777757678725047,92,3,True
P42336,0.36008478955972306,0.15951652917726614,92,21,True
P42338,0.5289714519906484,0.917802511984673,92,0,False
P42345,0.35412777740444773,0.47023137653474045,92,0,False
P42356,0.6117783252977578,0.7963124902285589,92,0,False
P42679,0.5349517426391998,0.6105355676959974,92,0,False
P42680,0.32834234383795113,0.2946811506012021,92,0,False
P42681,0.4466544101269755,0.630344739175584,92,0,False
P42684,0.1571251614271643,0.12462359580195914,92,2,True
P42685,0.39953540325964926,0.38386925382565906,92,0,False
P43250,0.353707851206159,0.6429671105302,92,1,True
P43403,0.23039920266127892,0.3634572409003741,92,1,True
P43405,0.2289770532131999,0.16790228915592617,92,50,True
P45983,0.29476458505167236,0.15644790106735637,92,13,True
P45984,0.2494198401792618,0.16326291155187003,92,2,True
P45985,0.5025384233878561,0.36792610574276413,92,0,False
P46734,0.5218035951829809,0.643906954415065,92,0,False
P48426,0.5208340750315739,0.3906927788298247,92,0,False
P48729,0.4961608048174057,0.40047404856999824,92,1,True
P48730,0.3016892773501502,0.18353019003248489,92,20,True
P48736,0.2890415243513366,0.11856824028894437,92,63,True
P49137,0.3326399214611461,0.2547893403680045,92,14,True
P49336,0.22157136118912016,0.2313703400410296,92,21,True
P49619,0.5865480812258513,0.8819553080122159,92,0,False
P49674,0.3032285755100782,0.32790285989586715,92,1,True
P49759,0.27184584968300074,0.17052659735855477,92,9,True
P49760,0.4242037072429964,0.35717213662840125,92,4,True
P49761,0.3238327140699742,0.22927462848724509,92,4,True
P49840,0.3287254944917745,0.3214354656617348,92,0,False
P49841,0.25467406196511005,0.1976970521573228,92,45,True
P49903,0.8726201455808646,0.857558601420731,92,0,False
P50053,0.3521860623204394,0.39828226954352103,92,7,True
P50613,0.5949857889261722,0.25494990741633844,92,0,False
P50750,0.41419064126031796,0.23912526850137755,92,11,True
P51451,0.31025924870581884,0.39382228752697485,92,0,False
P51570,0.6097336877655504,0.46488850431304385,92,0,False
P51617,0.2834728150578539,0.25654536943951345,92,1,True
P51812,0.3738785840006988,0.17642606107166414,92,8,True
P51813,0.20846681378846918,0.1524576644497266,92,0,False
P51817,0.6871512700385625,0.895518926043021,92,0,False
P51955,0.25463130623955643,0.23849890317931474,92,19,True
P51956,0.3957251554631844,0.5533981163403806,92,0,False
P51957,0.4212615281412785,0.6633511002664718,92,0,False
P52333,0.1659583109202257,0.17576994674415175,92,33,True
P52429,0.8067398211493194,0.8114078893715948,92,0,False
P52564,0.3767966991572683,0.2879925323407043,92,0,False
P52789,0.6671007073092508,0.5106285587234305,92,3,True
P52790,0.7343085878698601,0.9213742834939223,92,0,False
P52824,0.617182001877099,0.7172021636932643,92,0,False
P53350,0.18599469473133756,0.2931442187399444,92,36,True
P53355,0.45099208967093757,0.3144988088180731,92,10,True
P53667,0.2786469775071064,0.16034692572006665,92,0,False
P53671,0.32929740282954656,0.24205616169718297,92,1,True
P53778,0.6319699400937112,0.9699782793902927,92,0,False
P53779,0.23714693072035772,0.13176464800640805,92,45,True
P54646,0.5056645200883225,0.48173593621010224,92,3,True
P54753,0.5661094723132652,0.3420126059235441,92,2,True
P54756,0.44746437611649137,0.38483104253036815,92,0,False
P54760,0.5802944377676397,0.24956816812568142,92,15,True
P54762,0.45657842172387963,0.14057153159932212,92,2,True
P54764,0.4587127507142154,0.4022855296282484,92,3,True
P54819,0.6930908348936501,0.5866944811367927,92,0,False
P54886,0.8218435509270133,0.7743133684488079,92,0,False
P55263,0.6249357865020724,0.47245146905376484,92,1,True
P57058,0.5149224392841445,0.5367892288579997,92,0,False
P57059,0.6636301840878048,0.7672985703948787,92,0,False
P57078,0.3832980478527417,0.5894758649999314,92,0,False
P60891,0.9016017796144525,0.7275768932726099,92,0,False
P68400,0.35913034098575675,0.2591014473987023,92,62,True
P78356,0.6038951573029276,0.5490222536774446,92,0,False
P78362,0.280959955540291,0.2706531489455908,92,1,True
P78368,0.4555887807148558,0.5122872024432134,92,0,False
P80192,0.5677628420868663,0.1558512118345899,92,1,True
Q00526,0.7073447058154679,0.8316374091813563,92,0,False
Q00534,0.41129480433823773,0.1907764577611695,92,5,True
Q00535,0.42489382307983703,0.17762885389731478,92,5,True
Q00536,0.2506151622418588,0.27039657201342354,92,0,False
Q00537,0.42286919800658923,0.6586025418101276,92,0,False
Q01415,0.6297293831308892,0.7767704674188518,92,0,False
Q01813,0.633684868246405,0.563017366851166,92,0,False
Q01973,0.40186285409621014,0.41207753850237244,92,0,False
Q01974,0.7373005646986582,0.8079678183253443,92,0,False
Q02156,0.45415628430924554,0.3803130621077994,92,0,False
Q02750,0.09667349325543216,0.06361291933914315,92,21,True
Q02763,0.2743592470226879,0.14558007660555147,92,5,True
Q02779,0.5054373707645895,0.5527318788517239,92,0,False
Q03426,0.9708633585294202,0.9431970164778316,92,0,False
Q04759,0.33193452835733867,0.19474367561023995,92,4,True
Q04771,0.27244606915210445,0.14198243776554118,92,5,True
Q04912,0.22558661140420552,0.3372944080423841,92,0,False
Q05397,0.15449357390256196,0.11388777599580092,92,17,True
Q05513,0.5553106629738681,0.7043238640921274,92,0,False
Q05655,0.6757071050223563,0.408156063982374,92,0,False
Q06187,0.16386352716675184,0.06198762424120364,92,52,True
Q06418,0.43565600249758496,0.4659699252513937,92,0,False
Q07002,0.4208177842632641,0.717845130069908,91,0,False
Q07912,0.22429695706322414,0.1257778234180487,92,2,True
Q08345,0.23814485871405128,0.24238604106814537,92,13,True
Q08881,0.1914932274882429,0.1364312616511333,92,29,True
Q09013,0.43501356459079615,0.770776965444799,92,0,False
Q12851,0.24048749475689649,0.47754195066268795,92,0,False
Q12852,0.4534314407792487,0.4242218102408174,92,5,True
Q12866,0.19919885268508558,0.23395793717600818,92,10,True
Q13043,0.19486720296748267,0.15186239040575913,92,0,False
Q13057,0.7481839436641234,0.6951176646628389,92,0,False
Q13131,0.4900052680539234,0.17479655650388548,92,0,False
Q13153,0.22035117312005437,0.12282925820293039,92,19,True
Q13163,0.36365705845463187,0.5227670389685928,92,0,False
Q13164,0.434917700755942,0.2564147853973905,92,8,True
Q13177,0.4823719902352218,0.4078314425769612,92,0,False
Q13188,0.25384741217910006,0.1788748358137808,92,1,True
Q13232,0.8998938466606038,0.6300513431869242,92,0,False
Q13233,0.4119509338943789,0.8494311938456525,92,0,False
Q13237,0.44626199768289043,0.47043357481857623,92,0,False
Q13418,0.795860327555341,0.5163337922206802,92,0,False
Q13464,0.4241436658789317,0.3113269526520723,92,18,True
Q13470,0.39135845022320614,0.4976084759636938,92,0,False
Q13523,0.41953800796099094,0.3121353081325033,92,1,True
Q13535,0.5001068664411049,0.9227749727897824,92,0,False
Q13546,0.2828057057016931,0.3323076888655953,92,11,True
Q13554,0.46231696286993545,0.4329823713192691,92,0,False
Q13555,0.6436788712199027,0.7773223677354879,92,0,False
Q13557,0.45551027915798237,0.2782314407356555,92,0,False
Q13572,0.8202651301695023,0.5388528260655642,92,0,False
Q13574,0.682190264836274,0.8202525273886967,92,0,False
Q13627,0.19849521608768386,0.3076062892067196,92,24,True
Q13670,0.6650032216640516,0.9833114249934091,92,0,False
Q13705,0.8100802418829357,0.4817521416106992,92,0,False
Q13873,0.4428222535948861,0.26600599886055937,92,0,False
Q13882,0.19976928280029477,0.11679992455761627,92,4,True
Q13976,0.35586080075306015,0.33842385733556346,92,2,True
Q14004,0.4253409413170479,0.37838480483286363,92,0,False
Q14012,0.4542643559898592,0.3110092218488806,92,0,False
Q14164,0.35354496975842176,0.5828146536828602,92,0,False
Q14289,0.24682055700239494,0.2396279797553474,92,11,True
Q14296,0.7876847247593988,0.9215440553145133,92,0,False
Q14409,0.8174636253817976,0.6948534134379376,92,0,False
Q14410,0.9162375724848164,0.8603604278638488,90,0,False
Q14680,0.20524214044144265,0.13639598936021316,92,19,True
Q15118,0.7630158031791402,0.6718279316718564,92,2,True
Q15126,0.98961738194283,0.8635150632993905,92,0,False
Q15131,0.36647923063802723,0.5187031356115179,92,0,False
Q15139,0.2951466653679291,0.4935268909592398,92,0,False
Q15208,0.6781995134044002,0.4556127291737378,92,0,False
Q15303,0.21958501562721972,0.25439701957822075,92,2,True
Q15349,0.46707424726870056,0.787231265120224,92,0,False
Q15375,0.43339182105965934,0.26156214360399993,92,0,False
Q15418,0.41190855700156087,0.21284023013891507,92,1,True
Q15569,0.4204613954532857,0.3571562372382756,92,0,False
Q15746,0.49990180646493715,0.585339394197841,92,0,False
Q15759,0.3568522346565284,0.24389460736008758,92,1,True
Q15831,0.27449777653803636,0.3754493501430013,92,0,False
Q15835,0.37360031588763065,0.6375601636116126,92,0,False
Q16288,0.18111924023162926,0.1779122977094295,92,4,True
Q16512,0.2230496283395127,0.1685725762446624,92,3,True
Q16513,0.47601466744403587,0.4063522282414727,92,0,False
Q16539,0.30488892688555075,0.23499656698232058,92,150,True
Q16566,0.6031344831719985,0.5766195820902505,92,0,False
Q16584,0.6438065792186497,0.5601708037578476,92,0,False
Q16620,0.2543034451618833,0.30661730864179537,92,3,True
Q16644,0.40144373741160716,0.2549966234859486,92,2,True
Q16659,0.40668663643458197,0.29345161178793605,92,0,False
Q16671,0.629528408630938,0.7373993588247536,92,0,False
Q16760,0.814144457793784,0.7217238038362667,92,0,False
Q16774,0.8317931713363748,0.6262726455350877,92,0,False
Q16816,0.40227468748317796,0.42583684369411146,92,0,False
Q16832,0.2532048149421717,0.27351447210731383,92,1,True
Q16854,0.8868039834866266,0.6194500058594283,92,0,False
Q16875,0.3155717758434156,0.28916319259454787,92,14,True
Q16877,0.7496977421652546,0.7587889025291151,92,0,False
Q2M2I8,0.37712132636164913,0.14193817222990476,92,0,False
Q2TB90,0.6466297175955148,0.9464408235409454,92,0,False
Q32MK0,0.5295458095318907,0.6200644399186059,92,0,False
Q38SD2,0.64324230418147,0.7554913179264081,92,0,False
Q3LXA3,0.7809296411622177,0.6938969641784072,92,0,False
Q3MIX3,0.4368891266058376,0.8080437700129705,92,0,False
Q4G0N4,0.8961765379799784,0.7320820306901915,92,0,False
Q4R7R3,0.569799097048793,0.8204656002963945,92,0,False
Q504Y2,0.6838095886114323,0.8912509663466636,92,0,False
Q52WX2,0.5107889312042481,0.8180732034346071,92,0,False
Q53H12,0.8818687604491804,0.9793942116987041,92,0,False
Q59H18,0.4044117097290045,0.19327133258016557,92,3,True
Q5EBM0,0.7707349032419036,0.8852467324036318,92,0,False
Q5JZY3,0.7069210110812341,0.6512177792675343,92,0,False
Q5KSL6,0.8223107596869391,0.8888490227078788,92,0,False
Q5MAI5,0.4237853465478992,0.7107063589872039,92,0,False
Q5RCY1,0.7409421984544625,0.5258560089124314,92,0,False
Q5S007,0.19294357958361405,0.20353865454943057,92,0,False
Q5SY16,0.7641626753465254,0.6713811409548951,92,0,False
Q5T6J7,0.9360698231640597,0.8940571294979885,91,0,False
Q5T9C9,0.6087042323791519,0.7462550743772273,92,0,False
Q5TCS8,0.6908035013550086,0.8355672886632045,92,0,False
Q5TCX8,0.6837346221543065,0.3738514519725929,92,0,False
Q5TCY1,0.38900177363206284,0.29029655438939017,92,2,True
Q5VT25,0.6375755859592808,0.6909618701003567,92,0,False
Q6A1A2,0.6577424417414065,0.5010546138985426,91,0,False
Q6DT37,0.6174727315473196,0.7305370442629671,92,0,False
Q6IQ55,0.45843701111726043,0.3095277287332007,92,0,False
Q6J9G0,0.8398568950523758,0.9962660220897773,92,0,False
Q6P0Q8,0.6433744385020408,0.6151369619774755,92,0,False
Q6P2M8,0.5250953279976409,0.6903211227649407,92,0,False
Q6P3R8,0.4095413753122177,0.4355167229286323,92,0,False
Q6P5Z2,0.5712209057718799,0.37049730016647175,92,0,False
Q6PFW1,0.8770346970576517,0.6389311466680528,92,0,False
Q6PHR2,0.20457684721366487,0.1853153161971391,92,0,False
Q6SA08,0.5232290265352725,0.8877567075847826,92,0,False
Q6VAB6,0.6117165084228997,0.4007415182507512,92,1,True
Q6XUX3,0.6765453683972911,0.8202437847699678,92,0,False
Q6ZMQ8,0.9769737992786909,0.8762122896727099,88,0,False
Q6ZN16,0.3429525894924128,0.8060117991104648,92,0,False
Q6ZS86,0.6581894257706378,0.7093750848128948,92,0,False
Q6ZWH5,0.40869555883461706,0.7290724153209015,92,0,False
Q76MJ5,0.3992402655837542,0.4189345837816155,92,0,False
Q7KZI7,0.42696215463556914,0.2631988644434146,92,1,True
Q7L7X3,0.4773175151430093,0.4415856365135255,92,0,False
Q7Z2Y5,0.3089158184802631,0.5966603845390356,92,0,False
Q7Z695,0.6211021076465566,0.9199569948035015,92,0,False
Q86SG6,0.5124920488037374,0.6065146530024411,92,0,False
Q86TB3,0.9997154084029193,0.9994664374934327,91,0,False
Q86UE8,0.41439078790993944,0.5709656042847232,92,0,False
Q86UX6,0.2963387134362968,0.8002425010913591,92,0,False
Q86V86,0.4817139767736457,0.9756515738954239,92,0,False
Q86VZ5,0.6664223837204848,0.9882744042599277,92,0,False
Q86XP1,0.6344972068658427,0.7504583715973827,92,0,False
Q86Y07,0.2791789284894596,0.3697214512478162,92,0,False
Q86YV6,0.4226942948017075,0.30119890646706066,92,0,False
Q86Z02,0.43183700532187,0.6139323456724742,92,0,False
Q8IU85,0.321069542894034,0.2971551247880104,92,0,False
Q8IV42,0.8720042134714,0.7808983604239615,92,0,False
Q8IVH8,0.29398377389076574,0.3708150562510245,92,1,True
Q8IVS8,0.9672869760837395,0.7830764961363602,92,0,False
Q8IVT5,0.6387058153811241,0.5152364896996839,92,0,False
Q8IVW4,0.5160005841445404,0.313810016311497,92,0,False
Q8IW41,0.28591392614531247,0.5008796728140792,92,0,False
Q8IWQ3,0.5594347882495991,0.7479154759187712,92,0,False
Q8IWU2,0.8896760892518795,0.8960479114290731,90,0,False
Q8IXL6,0.8380457642139038,0.8066943585464585,92,0,False
Q8IY84,0.4600399747889234,0.5733274729847557,92,0,False
Q8IYT8,0.2415597811541479,0.24400368040614298,92,3,True
Q8IZL9,0.5511472141115328,0.7222142633915327,92,0,False
Q8N0W3,0.8208891315493816,0.8909294693697819,92,0,False
Q8N165,0.4445278726230778,0.5906286530260891,92,0,False
Q8N2I9,0.7929620229715395,0.6877843385852875,92,0,False
Q8N4C8,0.37373576484460186,0.5916786734636557,92,0,False
Q8N568,0.7889633370322098,0.8610204369302533,92,0,False
Q8N5S9,0.22772288617751202,0.19079906364784008,92,0,False
Q8N752,0.5456616977049423,0.858510957290248,92,0,False
Q8NE63,0.5315894235185916,0.6029900383182325,92,0,False
Q8NEB9,0.6617114763807083,0.7377616561848473,92,8,True
Q8NER5,0.31536268834028086,0.41671772860123524,92,0,False
Q8NEV1,0.5556576610232818,0.8758204453377114,92,0,False
Q8NEV4,0.3294142100922491,0.4520076821003537,92,0,False
Q8NFD2,0.5120896971858622,0.5474434364183158,92,0,False
Q8NFU5,0.6953542044330668,0.3648433605527158,92,7,True
Q8NG66,0.33470107098675944,0.8448758614752717,92,0,False
Q8NHU3,0.8089119133656087,0.9596535534576455,92,0,False
Q8NI60,0.5216391583734578,0.30106791237172564,92,0,False
Q8TBX8,0.39878425896230835,0.512341046116168,92,0,False
Q8TCG2,0.8134170261643574,0.8032314273773639,92,0,False
Q8TCT0,0.7859495890939072,0.7339226198876123,92,0,False
Q8TD08,0.6303494568731421,0.6141552271562547,92,0,False
Q8TD19,0.4556432470559059,0.5798583484846865,92,0,False
Q8TDC3,0.4568030770059543,0.5872231778828403,92,0,False
Q8TDR2,0.28237063955903546,0.6405769499675977,92,0,False
Q8TDX7,0.5420577129530688,0.23722201451918848,92,0,False
Q8TE04,0.7372094685865733,0.8129681067958212,92,0,False
Q8TF76,0.4700509966208808,0.5370194984258191,92,10,True
Q8WTQ7,0.39928649349833634,0.8937851455624208,92,0,False
Q8WU08,0.36700690380165424,0.34817809490157836,92,0,False
Q8WXR4,0.38535024395365564,0.5502624131970693,92,0,False
Q92551,0.7375293561685099,0.798379755561048,92,0,False
Q92630,0.4446386707264081,0.9277805785810058,92,6,True
Q92772,0.3120599446468524,0.7163488758946519,92,0,False
Q92918,0.21218663778417793,0.12503751204859598,92,4,True
Q969G6,0.5855144447284619,0.6346555949551176,92,0,False
Q96BR1,0.8003783584128704,0.673324216168055,92,0,False
Q96C11,0.8484604091078267,0.9101669650868606,92,0,False
Q96C45,0.5804999197816024,0.2500807139939219,92,0,False
Q96D53,0.5900823823572137,0.6917354272388699,92,0,False
Q96DU7,0.8377366448376853,0.6816014977350667,91,0,False
Q96GD4,0.2987957021460549,0.1833757299533154,92,1,True
Q96GX5,0.5334378743466826,0.5979153538233645,92,1,True
Q96J92,0.5433723132864481,0.8123726543816777,92,0,False
Q96KB5,0.4666865144548194,0.7741276008866057,92,0,False
Q96L34,0.4433475020449322,0.24673533732458766,92,1,True
Q96L96,0.8368217009506252,0.8982421265319888,92,0,False
Q96LW2,0.752246596345368,0.7269409802379146,92,0,False
Q96M32,0.8485342867591549,0.8174603998875297,92,0,False
Q96M69,0.6398397279031723,0.7582398644183345,92,0,False
